Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,3200
low confidence hdp.3,3200
low confidence hdp.4,2207
low confidence hdp.5,1993
low confidence hdp.6,1653
low confidence hdp.7,1538
low confidence hdp.8,1400
low confidence hdp.9,1352
low confidence hdp.10,1200
low confidence hdp.11,1187
low confidence hdp.12,800
low confidence hdp.13,800
low confidence hdp.14,798
low confidence hdp.15,343
low confidence hdp.16,294
low confidence hdp.17,200
low confidence hdp.18,23
low confidence hdp.19,8
low confidence hdp.20,2
