Data_set,Noise_level,Approach,Run,PPV,TPR,aver_Sim_TP_only,Composite,N_Sigs,FN,FP,FP.sigs,FN.sigs
sens_SBS35_20_728,Realistic,mSigHdp_ds_3k,seed.1076753,0.9565217391304348,0.9565217391304348,0.9911104340851471,2.9041539123460165,23,1,1,,
sens_SBS35_20_728,Realistic,mSigHdp_ds_3k,seed.145879,1,0.9565217391304348,0.9912352973507732,2.947757036481208,22,1,0,,
sens_SBS35_20_728,Realistic,mSigHdp_ds_3k,seed.200437,1,0.8695652173913043,0.9926671124227818,2.862232329814086,20,3,0,,
sens_SBS35_20_728,Realistic,mSigHdp_ds_3k,seed.310111,1,0.9565217391304348,0.9916121607125805,2.9481338998430155,22,1,0,,
sens_SBS35_20_728,Realistic,mSigHdp_ds_3k,seed.528401,1,0.9565217391304348,0.9907793963730945,2.9473011355035292,22,1,0,,
sens_SBS35_20_728,Realistic,SigProfilerExtractor,seed.1076753,0.8125,0.5652173913043478,0.9824552057308691,2.3601725970352168,16,10,3,,
sens_SBS35_20_728,Realistic,SigProfilerExtractor,seed.145879,0.8235294117647058,0.6086956521739131,0.9808361587657124,2.4130612227043313,17,9,3,,
sens_SBS35_20_728,Realistic,SigProfilerExtractor,seed.200437,0.8823529411764706,0.6521739130434783,0.9756259228821462,2.5101527771020953,17,8,2,,
sens_SBS35_20_728,Realistic,SigProfilerExtractor,seed.310111,0.9411764705882353,0.6956521739130435,0.9733893740533761,2.610218018554655,17,7,1,,
sens_SBS35_20_728,Realistic,SigProfilerExtractor,seed.528401,0.8235294117647058,0.6086956521739131,0.98052757780659,2.4127526417452088,17,9,3,,
