"ex.sig","gt.sig","sim"
"signeR.12","SBS1",0.999750602007931
"signeR.17","SBS2",0.9944941465076
"signeR.2","SBS3",0.99235068137715
"signeR.3","SBS4",0.979662774541379
"signeR.1","SBS5",0.929625770230577
"signeR.14","SBS7a",0.975285065140994
"signeR.5","SBS7b",0.987280566850382
"signeR.19","SBS7c",0.993408065882621
"signeR.23","SBS7d",0.979723671556817
"signeR.22","SBS13",0.999585204016329
"signeR.21","SBS17a",0.999713658586546
"signeR.10","SBS17b",0.998533169292099
"signeR.7","SBS18",0.994625443611133
"signeR.4","SBS40",0.970257696001065
"signeR.11","SBS44",0.966128513141718
