Signature,NumberOfPostSamples
low confidence hdp.1,2794
low confidence hdp.2,2288
low confidence hdp.3,1454
low confidence hdp.4,1400
low confidence hdp.5,1392
low confidence hdp.6,1160
low confidence hdp.7,800
low confidence hdp.8,800
low confidence hdp.9,598
low confidence hdp.10,594
low confidence hdp.11,400
low confidence hdp.12,200
low confidence hdp.13,65
low confidence hdp.14,21
low confidence hdp.15,2
low confidence hdp.16,2
low confidence hdp.17,2
low confidence hdp.18,2
low confidence hdp.19,2
