num.sigs,12
likelihood,11465.93
evidence,-52885.26
relevance,0.00453926463912846,0.0441044588430799,0.00453926463912846,0.00453926463912846,0.00453926463912846,0.00453926463912846,0.619697055248016,3.20452187628323,0.495702077726162,0.00453926463912846,0.00453926463912846,0.00453926463912846,0.00453926463912846,0.450223812262707,0.395848169861681,0.00453926463912846,0.227379939947301,0.00453926463912846,0.261780555466758,0.00453926463912846,0.00453926463912846,0.510001381097925,0.424476150244685,6.48239101223342,0.212809973684358,0.00453926463912846
error,451968
