Signature,NumberOfPostSamples
low confidence hdp.1,3201
low confidence hdp.2,3200
low confidence hdp.3,2794
low confidence hdp.4,2059
low confidence hdp.5,1794
low confidence hdp.6,1579
low confidence hdp.7,1395
low confidence hdp.8,1187
low confidence hdp.9,1000
low confidence hdp.10,1000
low confidence hdp.11,986
low confidence hdp.12,800
low confidence hdp.13,200
low confidence hdp.14,200
low confidence hdp.15,79
low confidence hdp.16,68
low confidence hdp.17,28
low confidence hdp.18,6
low confidence hdp.19,2
low confidence hdp.20,2
