Signature,NumberOfPostSamples
low confidence hdp.1,1532
low confidence hdp.2,800
low confidence hdp.3,800
low confidence hdp.4,684
low confidence hdp.5,200
low confidence hdp.6,199
low confidence hdp.7,93
low confidence hdp.8,34
low confidence hdp.9,4
