Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9
DEL,C,1,0,0.00212882426491745,0.0203611715124062,0.0175969575948599,0.0203239625124007,0.226158470278672,0.156282363302851,0.00728525983407137,0.0162665277047092,0.0216530773813896
DEL,C,1,1,0.000287523914421532,0.0256202667116343,0.0212713148525739,0.0209513991497157,0.0678167060342887,0.0465805515020759,0.0200128469983671,0.0173611024536925,0.0251952694596117
DEL,C,1,2,8.68401671670103e-06,0.0234906136529251,0.0192645532303257,0.0196751635753369,0.00104704553533305,0.0023383205784769,0.0203357866551216,0.0174807826084788,0.0206165373032002
DEL,C,1,3,0.0021580616814863,0.0127162569511329,0.010797030027452,0.0100838146593927,0.00800796326716909,0.00577840624154944,0.0102364224168357,0.00904083835948428,0.0128710527819267
DEL,C,1,4,0.0020996038369695,0.00267724200329686,0.00233417316260627,0.00279360619895098,0.00892028950451483,0.00661226492259598,0.00187763822287895,0.00218416282485059,0.00166499351142235
DEL,C,1,5+,0.00825521259943854,0.00274944063621541,0.00290764051028001,0.00759623958790182,0.0006910542600114,0.00228139046772272,0.00225940113222997,0.00609870122098691,0.00186087510100144
DEL,T,1,0,0.00417011749208463,0.0901230757764735,0.0746871520612485,0.0735340526386486,0.0717699444506376,0.0512739368092515,0.0603303043279796,0.0616302930418457,0.089681121095631
DEL,T,1,1,1.91631643751655e-05,0.0937361727241879,0.0773212506549855,0.0732780287128729,0.0301140223753925,0.020749350954877,0.00828584336073713,0.0636773223560036,0.032483696938534
DEL,T,1,2,0.00362267900364083,0.101275119923822,0.0839191868222772,0.0818969074834402,0.0585859626908523,0.0404304251256021,0.0694455555503268,0.0695391566039759,0.098087705981734
DEL,T,1,3,0.0101202234018372,0.0792947601833895,0.0661185937799368,0.0679169006539777,0.0775098699501297,0.0536499317257275,0.0470521315193811,0.0573218074695377,0.0693747296425977
DEL,T,1,4,0.022935436680141,0.0469144005950238,0.0396641291960543,0.051560661648684,0.065333916661233,0.0486158029615379,0.0311633827605517,0.0424066681792908,0.0430123323784106
DEL,T,1,5+,0.354826034978851,0.0277275395164581,0.0227190216142218,0.2849439482385,0.000918531107432593,0.0837349836367792,0.0215163693347325,0.199776098377087,0.0294556940329571
INS,C,1,0,3.39489274317722e-06,4.7743990655963e-05,3.17094404802776e-05,5.3891256184143e-05,2.1979963527984e-05,5.52556957319998e-05,0.000889995811784415,0.000167053549389257,0.00186087510100144
INS,C,1,1,5.81124092251621e-05,0.00079658166580676,0.000169504236631301,0.000141606153637012,1.998178502544e-05,6.36277708429089e-05,0.0648961651945167,0.000516120667516063,0.00205675669058054
INS,C,1,2,7.84307998215255e-06,0.00293521823115316,0.00227887607251694,0.000320596331834196,2.12437925007309e-05,8.37207511090907e-07,0.0394268732853022,0.00131648170264967,0.00250565200003265
