Signature,NumberOfPostSamples
low confidence hdp.1,2992
low confidence hdp.2,2800
low confidence hdp.3,2451
low confidence hdp.4,1596
low confidence hdp.5,1593
low confidence hdp.6,1365
low confidence hdp.7,1288
low confidence hdp.8,1200
low confidence hdp.9,812
low confidence hdp.10,600
low confidence hdp.11,594
low confidence hdp.12,400
low confidence hdp.13,400
low confidence hdp.14,200
low confidence hdp.15,199
low confidence hdp.16,58
low confidence hdp.17,53
low confidence hdp.18,2
low confidence hdp.19,2
