"ex.sig","gt.sig","sim"
"hdp.1","SBS1",0.996629288448927
"hdp.4","SBS2",0.992933235580924
"hdp.9","SBS3",0.981890801657488
"hdp.6","SBS4",0.992417727084286
"hdp.19","SBS5",0.993143619084083
"hdp.5","SBS7c",0.9991924006388
"hdp.13","SBS7d",0.978532931313065
"hdp.18","SBS12",0.991531471006001
"hdp.12","SBS13",0.994163214732661
"hdp.14","SBS16",0.989779078653632
"hdp.2","SBS17a",0.998331619643679
"hdp.3","SBS17b",0.998191949896101
"hdp.17","SBS18",0.994537874944185
"hdp.16","SBS22",0.989036361409245
"hdp.10","SBS28",0.983914125829658
"hdp.20","SBS29",0.945628237550344
"hdp.8","SBS38",0.983098620627057
"hdp.11","SBS40",0.992923430270856
"hdp.7","SBS41",0.992467724656459
"hdp.15","SBS44",0.991937156337777
