Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID2 0.997),hdp.2 (ID5 0.998),hdp.3 (ID8 0.999),hdp.4 (ID3 0.998),hdp.5 (ID6 1),hdp.6 (ID11 0.999),hdp.7 (ID14 0.914),hdp.8 (ID1 1),hdp.9 (ID13 0.999),hdp.10 (ID9 0.998),hdp.11 (ID4 0.998),hdp.12 (ID10 0.988),hdp.13 (ID12 0.993)
DEL,C,1,0,0.00460815456542272,0.0196891866025065,0.0388970397068727,0.114015361084926,0.0299368056193315,0.00277668837654208,0.0126377908817008,0.000225603089304419,0.0506883628100828,0.32315129544929,0.00825787700499926,0.0104339489141019,0.0481974543714506
DEL,C,1,1,0.000132302043169626,0.0276471653476513,0.0221616510580214,0.220199928933251,0.00559755972666655,0.00122706904178018,0.00161775608289413,0.000759265465022805,0.0146358783560397,0.0946822839937336,0.00255884513527041,0.023531778318867,0.0114383580275459
DEL,C,1,2,3.75138932387499e-06,0.0266758869427133,0.00291434233902027,0.190837881837141,0.00786098892151717,0.000195635830516051,0.000872143739102336,1.13371749674184e-05,0.00631758955918979,0.00266528770799077,0.00148428148524071,0.0173153232674719,0.00200252794713876
DEL,C,1,3,0.00245195200460606,0.0145416724976661,0.00579884257335219,0.0602581778770625,0.000906571930235683,0.000399011567659319,0.000794190607968723,0.00169395798518047,0.00575094504235921,0.00939532224763588,0.00135018703754783,0.00760273773817351,0.00571253302899875
DEL,C,1,4,0.00335717796009935,0.00250511870719117,0.0010114189716927,0.0420772506906302,0.00295570880135106,0.000244388489545968,0.00278308575464842,0.000802905557590718,0.00326573497307527,0.0113451764582822,0.00164870866083362,0.00404275739352434,0.0030406153130908
DEL,C,1,5+,0.0140080520451417,0.00236466525305455,0.000637125543354987,0.0225104296982949,0.00169072282911035,0.000756035079657581,0.00531167373954282,0.00330862534807997,0.00137421707524207,0.00111623748877034,0.00244450859386847,0.00674466758538419,0.03448199649092
DEL,T,1,0,0.00728028051072823,0.109173781408124,0.0357829220705345,0.0373112219512777,0.00379382402578566,0.000663281239010255,0.0237709498688211,0.000995908580198684,0.0485665935764398,0.0977318977228196,0.00395696977808767,0.0328450519856008,0.0234545303359839
DEL,T,1,1,4.7247599894224e-06,0.109191144620727,0.00951370889360311,0.0119327853923071,0.000262433048149051,0.0010244560418005,0.000640605635475374,1.07810242945775e-05,0.530572997060578,0.0450040283609362,0.000801117081807914,0.00118052198767237,0.00407823900568649
DEL,T,1,2,0.00581634354898178,0.118378229097571,0.0085769986752224,0.0148067550327701,0.0118956602652279,0.000695428734872249,0.0122522738897401,0.00070671826137807,0.0214989129189794,0.0791265333786221,0.00102732786081755,0.00272893129534166,0.0212253433964877
DEL,T,1,3,0.0164744543788887,0.0792376514220433,0.00859635595114923,0.0161511659347535,0.0215347573848703,0.00159098219602658,0.0229946965000141,0.00279489270868713,0.0594758303043231,0.117597407441522,0.00124246422034683,0.00703089112596938,0.0166003562247839
DEL,T,1,4,0.0377872044543224,0.0522458409421048,0.00126149987907051,0.0138027215914373,0.0176287434726713,0.00118399314786942,0.0207422575876737,0.00398126582833844,0.0169564844020254,0.0883075835942373,0.00112740207251278,0.00951022748766787,0.0372743920005836
DEL,T,1,5+,0.773623201214609,0.0253582935744205,0.00872572217941178,0.0075519635043369,0.00380601465967879,0.00666811086572231,0.0735683132297212,0.000582849920665575,0.00830840082069433,0.00201312060369608,0.00587429556105388,0.00303497031181353,0.0057216519383401
INS,C,1,0,3.6017844434468e-06,0.000411394120857228,0.00299741738734602,0.00227680076886986,0.00220477254642912,0.000319086716025764,0.571464598649772,9.18953656892688e-06,0.00201174145227745,6.44764744363923e-05,0.000167293915759139,0.000426933435012745,0.00132695586695171
INS,C,1,1,0.000202208209849371,0.00134050269694016,0.00202162213460897,0.00149377360191231,0.0016023420397111,0.166334544647476,0.0160569241028141,2.40971854708893e-05,0.00166232461394667,0.000259825337186466,0.000103630872731344,0.00198414962085389,0.00249348075260986
