Signature,NumberOfPostSamples
low confidence hdp.1,3568
low confidence hdp.2,3196
low confidence hdp.3,2974
low confidence hdp.4,989
low confidence hdp.5,879
low confidence hdp.6,824
low confidence hdp.7,733
low confidence hdp.8,705
low confidence hdp.9,600
low confidence hdp.10,600
low confidence hdp.11,581
low confidence hdp.12,575
low confidence hdp.13,400
low confidence hdp.14,400
low confidence hdp.15,394
low confidence hdp.16,371
low confidence hdp.17,370
low confidence hdp.18,362
low confidence hdp.19,228
low confidence hdp.20,222
low confidence hdp.21,199
low confidence hdp.22,199
low confidence hdp.23,198
low confidence hdp.24,198
low confidence hdp.25,198
low confidence hdp.26,198
low confidence hdp.27,198
low confidence hdp.28,197
low confidence hdp.29,197
low confidence hdp.30,196
low confidence hdp.31,196
low confidence hdp.32,191
low confidence hdp.33,191
low confidence hdp.34,188
low confidence hdp.35,187
low confidence hdp.36,181
low confidence hdp.37,181
low confidence hdp.38,181
low confidence hdp.39,173
low confidence hdp.40,173
low confidence hdp.41,167
low confidence hdp.42,164
low confidence hdp.43,157
low confidence hdp.44,149
low confidence hdp.45,136
low confidence hdp.46,136
low confidence hdp.47,117
low confidence hdp.48,116
low confidence hdp.49,116
low confidence hdp.50,90
low confidence hdp.51,90
low confidence hdp.52,81
low confidence hdp.53,73
low confidence hdp.54,68
low confidence hdp.55,57
low confidence hdp.56,49
low confidence hdp.57,45
low confidence hdp.58,37
low confidence hdp.59,37
low confidence hdp.60,34
low confidence hdp.61,25
low confidence hdp.62,21
low confidence hdp.63,12
low confidence hdp.64,10
low confidence hdp.65,10
low confidence hdp.66,6
low confidence hdp.67,5
low confidence hdp.68,3
low confidence hdp.69,2
low confidence hdp.70,2
low confidence hdp.71,2
low confidence hdp.72,2
low confidence hdp.73,2
low confidence hdp.74,2
low confidence hdp.75,2
low confidence hdp.76,2
