Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3000
low confidence hdp.3,3000
low confidence hdp.4,2828
low confidence hdp.5,2393
low confidence hdp.6,1800
low confidence hdp.7,1597
low confidence hdp.8,1384
low confidence hdp.9,1040
low confidence hdp.10,1033
low confidence hdp.11,1000
low confidence hdp.12,999
low confidence hdp.13,800
low confidence hdp.14,784
low confidence hdp.15,400
low confidence hdp.16,394
low confidence hdp.17,200
low confidence hdp.18,199
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
low confidence hdp.23,2
