Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9
DEL,C,1,0,0.0048585007433369,0.00131114186746758,0.0100223377240081,3.11339174588641e-13,5.36871624937378e-81,0.031077271237727,0.326411585327361,0.00620708774000022,0.0259003765502567
DEL,C,1,1,3.11333000821214e-05,0.165213976553413,0,0.000699672350860959,0.00979833541896768,0.0158277977025864,0.151705124309151,4.6202865672132e-99,7.08211699883234e-28
DEL,C,1,2,0,0.214820652625204,0,0,0.0176359161585492,6.71244090382715e-175,0.00943670910904994,0,0.00610813782337122
DEL,C,1,3,0.00247539465539251,0.0685521528357906,0,0.0018491068380194,0.0105092905078299,0.00345141062650108,0.0206767257590609,6.04428376447294e-05,5.75703662225306e-115
DEL,C,1,4,0.00387868054800956,0.0393925631554566,0.0018913308452937,0.000544440986347736,1.3508703123949e-191,1.32213322566954e-227,0.0211241879640849,0.000546085214714934,0.00120514036511194
DEL,C,1,5+,0.0145777697399639,0.0261366638187635,0.000174231826180676,0.00341519506938291,0.00132285756323588,1.18975180463659e-19,0.00300807790065102,0.00197867492769706,0.000748621818187759
DEL,T,1,0,0.00792561945745743,0.00240799248585615,0.0234165705957466,0.00133478785560439,0.110697051636891,0.0365019011910483,0.109205409992761,0.000365028919044653,0.00203183392767547
DEL,T,1,1,0,0,0,0,0.175294202835231,0.0105459642805378,0.0361855791504756,0,6.15727309260885e-280
DEL,T,1,2,0.00705748390051013,2.30007551839014e-52,0.0138483935169477,0.00098761874114168,0.124355483690672,0.00593371096962115,0.0785577061445913,1.1125369292536e-308,0.0114510628233363
DEL,T,1,3,0.0202804820116722,1.42243629049299e-236,0.0210461367175506,0.00240952687186233,0.0972104004044464,0.00544615341594556,0.0938437158650446,5.31779809547336e-298,0.0228508455273839
DEL,T,1,4,0.0472137183671694,5.73728450451036e-227,0.0118931900689555,0.00448297281654905,0.0515388811513399,1.63030677184327e-126,0.0733410452364747,1.83169749538112e-236,0.0176082097741699
DEL,T,1,5+,0.814841567465859,0.0124121130626359,9.61427632018503e-178,0.000946849168262037,0.0133848438776317,0.0134691720515423,1.70368673371787e-25,1.74635396155314e-70,4.99434799041247e-09
INS,C,1,0,0,0,0.682276138997177,0,0,0,0,0,0
INS,C,1,1,0.000217010381203679,0.0398224542238601,0.018699653329433,0,0.000209443637915213,0.0012168299105307,0,1.66935441949331e-246,0.00174261205048691
INS,C,1,2,2.19513111044276e-05,0.0263592202145366,0.000701162585863212,0,0.00214896605998687,0.000660424465576552,0,0,0
INS,C,1,3,0.000483898126663164,0.0155290658330636,0.00217778233192288,0.000592071408610668,0,0,0,0.00020832297185413,0
INS,C,1,4,0.00293434029352388,0.0109425770851816,0.00116813355466778,0.00170808798451202,0,0,0,0,0.000130143447026693
INS,C,1,5+,0.00904095380703511,0.00817800242592132,0,0.0243298019575586,1.062422630571e-143,2.98121556155313e-197,0.000633674180254434,7.53639885396689e-05,0
INS,T,1,0,0.00134656580329876,0.0082200376992373,0.0473966385512374,0.00214695886804166,0.0108232549594208,0.00278954640860296,0.0192944224679007,0.000561096254339446,0.00545121980017477
