Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 0.999),ID83B (ID1 1),ID83C (False Positive) (ID5 0.891),ID83D (False Positive) (ID5 0.503),ID83E (ID8 0.988),ID83F (ID3 0.976),ID83G (False Positive) (ID1 0.737),ID83H (ID6 0.996),ID83I (ID9 0.987),ID83J (ID13 0.988),ID83K (ID4 0.99),ID83L (ID14 0.969)
DEL,C,1,0,0.00151451248727426,0,0.000349929274879379,0.0159577727172737,0.017768165765192,0.085132388100028,0.000797885380452505,0.022749910634011,0.41844231903553,0.00304939391195276,0.00930511187633073,0.00268948690028468
DEL,C,1,1,0,6.6587372098176e-06,0.0152421353628495,0.00752978390271892,0.0170564511645614,0.241111152544618,0.00272303614376143,0.000811493233867918,0.106199208166424,0.00160302893296856,2.58455968267842e-05,3.19833068989794e-05
DEL,C,1,2,0,5.71506564295277e-11,0.0157711671292782,1.40129846432482e-47,0,0.22358326792717,0.000983690554276109,0.00367169942590408,0,0.00614709634924954,0.000965900389189756,0
DEL,C,1,3,0.00137678891558608,0.000986661751476357,0.0106722798687406,0.0108854999381583,0.00465784578351304,0.0780961847305298,0.0100170738901943,3.9275226299651e-06,0.0098987665376626,0.00380553342242368,0.000543321945938203,0.000570267307939503
DEL,C,1,4,0.00231407784879366,8.52174264474849e-05,5.32888938323595e-06,0.0143696281367738,0.000104079813393573,0.0475931387022138,0.00644664100575028,0.0015008165902691,0.01337691497989,0.000641716926654539,0.00182977879303508,0.0014209179172758
DEL,C,1,5+,0.0137344529642724,0.00026984321616095,2.84504287869205e-05,0.0209330812911503,1.84859373704562e-05,0.0278728177584708,0.0250868970318697,0.000730663172785591,1.93154398584738e-05,0.000147761807688685,0.00177649493154604,0.00367718928842805
DEL,T,1,0,0.0016023942798952,0.00019815251342328,0.139768738374114,0.0658845272939652,0.031186047969386,0.0203652433212847,0.016710829299991,2.86613786740548e-05,0.119759856015444,0.0422921155206859,0.00465459314917098,0.017331920992583
DEL,T,1,1,2.04507002998788e-11,1.21495996033283e-08,0.0219502178828044,2.09010256533304e-07,1.55763908547566e-05,0.00344738809671573,0.000357352825438733,2.14057363581155e-06,0.00161962688930255,0.622089694142342,0.000332356476892191,3.85313041695312e-08
DEL,T,1,2,0.00407899163081311,5.26886422940891e-06,0.169152581393719,0.0477468298899597,0.00145267802739915,0.000106345505118952,0.0125479613241026,0.00799605946522206,0.0919805692508817,0.022010717385856,0.00215641500748537,0.00569320478680311
DEL,T,1,3,0.00551460213384213,0.00112364527649575,0.101899802647531,0.172458283938468,0.00164984860116625,0.00101992011051353,0.0104588566423627,0.0175599809829146,0.104657509662211,0.0598487573442981,0.00312528336918507,0.0129357255389914
DEL,T,1,4,0.0095417715044482,0.000140544348068333,0.037061237556627,0.388276134971529,4.81551745906472e-05,0.00136287484787994,0.033232517442239,0.00939642935542281,0.073348136927365,0.00237436430782494,0.000987212432504542,0.00887474460003432
DEL,T,1,5+,0.907792227864265,0.000265917340070092,0.00717026075532077,0.0492953921129354,6.7985243772125e-05,0.000412362333284287,0.00600868455101561,0.000118511135927291,0.00336152191276945,0.000964245465519107,0.000198743096929133,0.0573012536926899
INS,C,1,0,1.89595682223148e-44,1.23718447555745e-09,4.48654026133186e-08,7.67769058089023e-09,1.37936278693791e-07,1.39717084607451e-07,1.00476996552121e-08,1.48389677331687e-08,2.8607976403805e-07,6.63737738035648e-08,8.74981165407042e-08,0.568680040240288
INS,C,1,1,0.000203287254367623,7.42980732383103e-06,0.0113529413628567,0.00287431503112335,0.00188254338689148,0.00237763279095816,0.00659876523874118,0.00149694222374819,0,0.00035636602602608,2.59760505969098e-05,0.0154018108174205
INS,C,1,2,1.57510775699166e-05,2.20094467368481e-06,0.00922742596827447,0.00161016471532108,0.00155513407474949,0.00261483192734886,0.00434245893222276,3.64940337863828e-06,1.73105001886218e-05,0.000845362310479957,3.37516467993027e-05,0.000524662677635206
INS,C,1,3,0.000269083991406661,0.000328480078173011,0.00183220102568157,0.00108156642718811,2.939007790701e-06,0.00810730333905667,0.00631336220307276,0,1.34654594876338e-05,5.61597420897901e-05,0.000638936985706096,0.000805447808597819
INS,C,1,4,0.00232461784326006,0.000273575487945959,0.000122628022527351,0.00312280593218435,1.56003640319824e-05,0.00865879769437015,0.0137255640188232,0.000196291115087207,9.54907263243897e-05,3.69472101738211e-06,0,0.00080356244390714
INS,C,1,5+,0.00458652782140086,0.00603906505817634,0,0.0119466875992759,0,0.0081949048768729,0.155663648433983,0,5.98469635413323e-07,0,0.000327348020555291,0.0023516558796959
INS,T,1,0,0.000672905847386573,0.00139982968510594,5.19885132234776e-05,0.00323304886666636,0.00277410365757532,0.0193873843364418,0.010645852873713,0.00665985997300595,0.0136071360390633,0.0375378787703812,0.00388435459695756,0.0416149446740747
INS,T,1,1,0,4.05739231776035e-07,0.0277972596464679,0.00540729788517297,0.00300850521715809,0.0579258165881038,0.0136772163468413,8.23804836258794e-05,0.00787901484873146,0.00208357714107245,0.000340959753859664,0.00281750897062011
INS,T,1,2,0.000330211589846492,1.96207112779234e-10,0.0482802198268473,0.00604422805835763,9.87899802102782e-05,0.0526195827126503,0.0106331114080882,0,4.9368895997761e-06,0.00474526408188234,0,0.00140199893619865
INS,T,1,3,0.000695335138663923,0.00135996584736863,0.0324424720555544,0.00387303545386641,9.52836120015956e-05,0.0298335526697338,0.0269168768124655,4.74940139452346e-05,0.000146185900733292,0.0122050402499735,0.00027813330015562,0.000344419180115478
INS,T,1,4,0.0020007389629513,0.00758758523385041,0.0175114351697266,0.00679782245002571,9.11560604618051e-05,0.00753608990460634,0.0778159053996205,0.000463263974975234,0.00184244142853921,0.0115571786323562,0.00076979741987014,0.00549449615180492
INS,T,1,5+,0.00207321689353011,0.970275946259499,0.000876307867599287,0.01316514865982,0.00188086417940878,0.00237451124594391,0.245235329824632,0.00408656286789961,0.0024768591345862,0.00107289065749868,0.00088008568495318,0.130808134466331
DEL,repeats,2,0,7.95764174373868e-06,9.1121286899654e-05,0.0263631935045123,0.00116740679933438,0.006940952623263,0.00847095520235598,0.00216226711446135,9.77767448694067e-05,0.0136049146857113,0.0282031782902777,0.0950199032574892,0.000389279111768701
DEL,repeats,2,1,0.00177029572660103,3.92727595266336e-05,0.0199661534465849,0.0156141548254527,0.00769333129166625,0.0116316914837807,0.00244012923274164,8.62829983907432e-05,0.000221329516241183,0.00545334421796724,0.202818029373884,0.00568716091569513
DEL,repeats,2,2,0.00113316481510992,0.000347515638797518,0.0017344911681721,0.00703476034599589,2.21712994971313e-06,0.0140571606811136,0.00131600799398916,0.0014476829895284,0,0.00225928233150626,0.0475902343913913,0.00203303522022907
DEL,repeats,2,3,0.00100837419042364,0.000133829131691243,0,0.000283199733082698,0,0.00677877073176205,0.000388527954172133,0.00035039617716393,1.75520468474133e-06,0,0.0110456330142915,6.70573675781127e-05
DEL,repeats,2,4,0.00092724405345507,1.66922887729015e-06,0.000712749549129516,0.000586119339936886,0.000194684617477237,0.00335932679707184,0.000299867465067972,0.000116235351910063,0.00017908245068611,2.49165566104637e-05,0.00334820852382109,0.000315081634580565
DEL,repeats,2,5+,1.14952737606533e-11,1.87243063165532e-09,0.0307496472634375,0.000155944130092394,2.66808693538748e-05,0.000556299177436022,0.0021417119604596,4.35727945826692e-07,4.66877007013977e-06,0.00785387813212157,0.00130718329745889,2.32346565320896e-10
DEL,repeats,3,0,7.21718733203615e-06,1.19135398819009e-05,0.023203603643924,0.00131019897694292,0.0143079355917871,0.000996015589153103,0.00133958619291661,0.000604186166611579,0.00183054388566234,0.00668611038476229,0.00535937170498073,0.00149907916376833
DEL,repeats,3,1,0.00258529100887245,0.000704654181680142,0.00104160469587566,0.0127046738540594,2.83842128540645e-05,2.42620239997267e-06,0.0364241283445153,0.00391519689001143,0.000346958471108724,3.8536069619768e-05,0.108343394994736,0.00430884648114443
DEL,repeats,3,2,0.00142466222401708,0.000285536032540524,6.23046107199343e-05,0.00716074560084962,8.71548345129481e-05,0,0.00341738943668133,0.00038371282229491,0.000163959424644418,0.000466193017691737,0.0140657461248338,0.00151296195574105
DEL,repeats,3,3,0.000265034038471231,5.00499087523524e-05,0.000396175551031774,0.00209137011031142,0.000265985677742719,2.31365303250527e-05,0.002662036479378,9.20804608006165e-05,0.000158641831976638,3.30146428866775e-05,0.00371213456848636,0.000345529361347872
DEL,repeats,3,4,6.88826562456058e-11,2.41346095209566e-09,0.00821463997010142,8.74106181851886e-05,3.00892592841606e-09,1.31524806893579e-05,0.000453265542477936,1.62034461126392e-09,3.86306791000379e-10,0.00161237796639242,0.000568217427361155,3.59004969537613e-06
