"ex.sig","gt.sig","sim"
"SBS96B","SBS3",0.927674497838729
"SBS96C","SBS40",0.926366906457988
"SBS96D","SBS4",0.982256772194551
"SBS96E","SBS7a",0.929419763840797
"SBS96F","SBS1",0.999430651493461
"SBS96G","SBS12",0.94877455449712
"SBS96H","SBS17b",0.999629246568003
"SBS96I","SBS2",0.998715367921679
"SBS96J","SBS18",0.987995546230268
"SBS96K","SBS7b",0.984501912299896
"SBS96L","SBS17a",0.999681125826035
"SBS96M","SBS44",0.994114084984562
"SBS96N","SBS13",0.997771852059282
"SBS96O","SBS7c",0.995998547855875
"SBS96P","SBS7d",0.957990120515839
"SBS96Q","SBS22",0.98234519783331
"SBS96R","SBS28",0.955513679880863
