Noise_level,Approach,mean(PPV),mean(TPR),mean(aver_Sim_TP_only),mean(Composite),sd(Composite)
Noiseless,SignatureAnalyzer,0.760,0.594,0.987,2.34,0.000281
Noiseless,signeR,0.732,0.512,0.991,2.24,0.069980
Noiseless,SigProfilerExtractor,0.818,0.556,0.983,2.36,0.092270
Realistic,SignatureAnalyzer,0.192,0.375,0.970,1.54,0.032361
Realistic,signeR,0.577,0.512,0.981,2.07,0.082417
Realistic,SigProfilerExtractor,0.895,0.388,0.965,2.25,0.121053
