prog,noise,seed,ex.sig,gt.sig,sim
signeR,Noiseless,145879,signeR.1,SBS5,1
signeR,Noiseless,145879,signeR.2,SBS40,0.997
signeR,Noiseless,145879,signeR.3,SBS7a,0.999
signeR,Noiseless,145879,signeR.4,SBS7b,1
signeR,Noiseless,145879,signeR.5,SBS3,0.996
signeR,Noiseless,145879,signeR.7,SBS1,1
signeR,Noiseless,145879,signeR.8,SBS4,0.944
signeR,Noiseless,145879,signeR.10,SBS44,0.995
signeR,Noiseless,145879,signeR.11,SBS18,0.989
signeR,Noiseless,145879,signeR.12,SBS17b,1
signeR,Noiseless,145879,signeR.14,SBS13,1
signeR,Noiseless,145879,signeR.16,SBS2,1
signeR,Noiseless,145879,signeR.17,SBS7c,1
signeR,Noiseless,145879,signeR.18,SBS26,0.982
signeR,Noiseless,145879,signeR.19,SBS17a,0.999
signeR,Noiseless,145879,signeR.20,SBS7d,1
signeR,Noiseless,145879,signeR.24,SBS38,0.998
SigProfilerExtractor,Noiseless,145879,SBS96A,SBS7a,0.966
SigProfilerExtractor,Noiseless,145879,SBS96B,SBS7b,0.997
SigProfilerExtractor,Noiseless,145879,SBS96C,SBS2,1
SigProfilerExtractor,Noiseless,145879,SBS96E,SBS4,0.969
SigProfilerExtractor,Noiseless,145879,SBS96F,SBS40,0.904
SigProfilerExtractor,Noiseless,145879,SBS96G,SBS1,1
SigProfilerExtractor,Noiseless,145879,SBS96I,SBS44,0.976
SigProfilerExtractor,Noiseless,145879,SBS96J,SBS17b,1
SigProfilerExtractor,Noiseless,145879,SBS96K,SBS13,1
SigProfilerExtractor,Noiseless,145879,SBS96L,SBS26,0.995
SigProfilerExtractor,Noiseless,145879,SBS96M,SBS36,0.995
SigProfilerExtractor,Noiseless,145879,SBS96O,SBS7c,0.999
SigProfilerExtractor,Noiseless,145879,SBS96P,SBS12,0.948
SigProfilerExtractor,Noiseless,145879,SBS96Q,SBS17a,1
SigProfilerExtractor,Noiseless,145879,SBS96R,SBS7d,1
SigProfilerExtractor,Noiseless,145879,SBS96U,SBS22,0.999
SigProfilerExtractor,Noiseless,145879,SBS96V,SBS37,0.966
SigProfilerExtractor,Noiseless,145879,SBS96X,SBS28,0.987
SigProfilerExtractor,Noiseless,145879,SBS96Y,SBS34,0.993
SignatureAnalyzer,Noiseless,145879,W.3,SBS38,0.979
SignatureAnalyzer,Noiseless,145879,W.5,SBS34,0.986
SignatureAnalyzer,Noiseless,145879,W.6,SBS22,0.999
SignatureAnalyzer,Noiseless,145879,W.9,SBS17b,1
SignatureAnalyzer,Noiseless,145879,W.10,SBS1,1
SignatureAnalyzer,Noiseless,145879,W.11,SBS26,0.993
SignatureAnalyzer,Noiseless,145879,W.12,SBS36,0.991
SignatureAnalyzer,Noiseless,145879,W.13,SBS2,1
SignatureAnalyzer,Noiseless,145879,W.14,SBS17a,1
SignatureAnalyzer,Noiseless,145879,W.15,SBS7d,1
SignatureAnalyzer,Noiseless,145879,W.16,SBS7c,0.999
SignatureAnalyzer,Noiseless,145879,W.17,SBS13,1
SignatureAnalyzer,Noiseless,145879,W.18,SBS40,0.919
SignatureAnalyzer,Noiseless,145879,W.19,SBS4,0.999
SignatureAnalyzer,Noiseless,145879,W.20,SBS5,0.922
SignatureAnalyzer,Noiseless,145879,W.21,SBS44,0.998
SignatureAnalyzer,Noiseless,145879,W.23,SBS7a,1
SignatureAnalyzer,Noiseless,145879,W.24,SBS7b,1
SignatureAnalyzer,Noiseless,145879,W.25,SBS28,0.977
signeR,Noiseless,200437,signeR.1,SBS40,0.997
signeR,Noiseless,200437,signeR.2,SBS5,1
signeR,Noiseless,200437,signeR.3,SBS7a,1
signeR,Noiseless,200437,signeR.6,SBS7b,1
signeR,Noiseless,200437,signeR.7,SBS3,0.994
signeR,Noiseless,200437,signeR.8,SBS1,1
signeR,Noiseless,200437,signeR.9,SBS4,0.951
