Approach,Noise_level,Run,CPU_time
signeR,Noiseless,seed.145879,1513416.348
signeR,Noiseless,seed.200437,1432662.006
signeR,Noiseless,seed.310111,1623926.101
signeR,Noiseless,seed.528401,1360098.896
signeR,Noiseless,seed.1076753,1432679.849
signeR,Realistic,seed.145879,1656785.884
signeR,Realistic,seed.200437,1569906.974
signeR,Realistic,seed.310111,1390289.565
signeR,Realistic,seed.528401,1442116.337
signeR,Realistic,seed.1076753,1538994.096
SignatureAnalyzer,Noiseless,seed.145879,4245613.848
SignatureAnalyzer,Noiseless,seed.200437,3340229.932
SignatureAnalyzer,Noiseless,seed.310111,4614556.221
SignatureAnalyzer,Noiseless,seed.528401,3942248.121
SignatureAnalyzer,Noiseless,seed.1076753,5530632.717
SignatureAnalyzer,Realistic,seed.145879,5310002.954
SignatureAnalyzer,Realistic,seed.200437,5603919.865
SignatureAnalyzer,Realistic,seed.310111,6500565.178
SignatureAnalyzer,Realistic,seed.528401,5898554.229
SignatureAnalyzer,Realistic,seed.1076753,6397205.75
mSigHdp,Realistic,seed.145879,23800788.824
mSigHdp,Realistic,seed.200437,25439862.31
mSigHdp,Realistic,seed.310111,24911450.045
mSigHdp,Realistic,seed.528401,25037565.107
mSigHdp,Realistic,seed.1076753,24462112.846
SigProfilerExtractor,Noiseless,seed.145879,4711557.24
SigProfilerExtractor,Noiseless,seed.200437,5381131.21
SigProfilerExtractor,Noiseless,seed.310111,5727189.63
SigProfilerExtractor,Noiseless,seed.528401,5372856.56
SigProfilerExtractor,Noiseless,seed.1076753,5762323.11
SigProfilerExtractor,Realistic,seed.145879,3749668.53
SigProfilerExtractor,Realistic,seed.200437,3949493.73
SigProfilerExtractor,Realistic,seed.310111,3846206.98
SigProfilerExtractor,Realistic,seed.528401,3974440.67
SigProfilerExtractor,Realistic,seed.1076753,3848239.21
