Noise_level,Approach,mean(PPV),mean(TPR),mean(aver_Sim_TP_only),mean(Composite),sd(Composite)
Noiseless,SignatureAnalyzer,0.76,0.594,0.987,2.34,0.000281
Noiseless,signeR,0.732,0.512,0.991,2.24,0.06998
Noiseless,SigProfilerExtractor,0.818,0.556,0.983,2.36,0.09227
Realistic,mSigHdp,0.726,0.8,0.99,2.52,0.032052
Realistic,mSigHdp_ds_3k,0.899,0.775,0.992,2.67,0.022748
Realistic,SignatureAnalyzer,0.192,0.375,0.97,1.54,0.032361
Realistic,signeR,0.577,0.512,0.981,2.07,0.082417
Realistic,SigProfilerExtractor,0.895,0.388,0.965,2.25,0.121053
