Approach,Noise_level,Run,CPU_time
signeR,Noiseless,seed.145879,1513416
signeR,Noiseless,seed.200437,1432662
signeR,Noiseless,seed.310111,1623926
signeR,Noiseless,seed.528401,1360099
signeR,Noiseless,seed.1076753,1432680
signeR,Realistic,seed.145879,1656786
signeR,Realistic,seed.200437,1569907
signeR,Realistic,seed.310111,1390290
signeR,Realistic,seed.528401,1442116
signeR,Realistic,seed.1076753,1538994
SignatureAnalyzer,Noiseless,seed.145879,4245614
SignatureAnalyzer,Noiseless,seed.200437,3340230
SignatureAnalyzer,Noiseless,seed.310111,4614556
SignatureAnalyzer,Noiseless,seed.528401,3942248
SignatureAnalyzer,Noiseless,seed.1076753,5530633
SignatureAnalyzer,Realistic,seed.145879,5310003
SignatureAnalyzer,Realistic,seed.200437,5603920
SignatureAnalyzer,Realistic,seed.310111,6500565
SignatureAnalyzer,Realistic,seed.528401,5898554
SignatureAnalyzer,Realistic,seed.1076753,6397206
mSigHdp,Realistic,seed.145879,23800789
mSigHdp,Realistic,seed.200437,25439862
mSigHdp,Realistic,seed.310111,24911450
mSigHdp,Realistic,seed.528401,25037565
mSigHdp,Realistic,seed.1076753,24462113
mSigHdp_ds_3k,Realistic,seed.145879,3014170
mSigHdp_ds_3k,Realistic,seed.200437,3007257
mSigHdp_ds_3k,Realistic,seed.310111,3015429
mSigHdp_ds_3k,Realistic,seed.528401,3015979
mSigHdp_ds_3k,Realistic,seed.1076753,2989747
SigProfilerExtractor,Noiseless,seed.145879,4711557
SigProfilerExtractor,Noiseless,seed.200437,5381131
SigProfilerExtractor,Noiseless,seed.310111,5727190
SigProfilerExtractor,Noiseless,seed.528401,5372857
SigProfilerExtractor,Noiseless,seed.1076753,5762323
SigProfilerExtractor,Realistic,seed.145879,3749669
SigProfilerExtractor,Realistic,seed.200437,3949494
SigProfilerExtractor,Realistic,seed.310111,3846207
SigProfilerExtractor,Realistic,seed.528401,3974441
SigProfilerExtractor,Realistic,seed.1076753,3848239
