"ex.sig","gt.sig","sim"
"SBS96A","SBS7a",0.975483044710712
"SBS96B","SBS7b",0.999763797926553
"SBS96D","SBS2",0.999961383013175
"SBS96E","SBS4",0.992577898649389
"SBS96F","SBS40",0.918359291065129
"SBS96G","SBS3",0.924783351202007
"SBS96H","SBS1",0.999883468803748
"SBS96I","SBS12",0.989738906877973
"SBS96J","SBS44",0.994604928113563
"SBS96K","SBS17b",0.999973586719699
"SBS96L","SBS18",0.97837013699756
"SBS96M","SBS13",0.999974723781161
"SBS96N","SBS7c",0.994864747612522
"SBS96O","SBS17a",0.99991671211304
"SBS96P","SBS9",0.908804109553068
"SBS96Q","SBS7d",0.991286148696348
"SBS96R","SBS22",0.964931664472091
