Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11
DEL,C,1,0,0.020325777164812,0.00742470085644711,0.00879115497839214,0.0199261311885604,0.0202156465539989,0.00266932128696696,0.0228799829610901,0.00471861516404969,0.0234800575626347,0.0262194417454121,0.00158791482785676
DEL,C,1,1,0.00951528363230966,0.00374381710542239,0.00785733834933078,0.0213088688624539,0.000887431037352484,0.000352243014333075,0.000445157183161235,0.0196607536064865,0.0170486273499906,0.0348241462061076,0.00100414764033814
DEL,C,1,2,0.024995141019282,0.00234397704224031,0.00195988696811346,0.0253313659249912,5.64285975260729e-05,1.36041732515796e-05,4.18925405437573e-05,0.0142540249281447,0.0319736818403498,0.0228859000657238,3.91447385216564e-05
DEL,C,1,3,0.0165805525710616,0.00455395592164258,0.00373838443487335,0.0123344342326846,0.00388788977343309,0.00340503884751859,0.00706691922256841,0.0181747714005447,0.0134206068628164,0.0137054020421731,0.00374427933685409
DEL,C,1,4,0.00676618895759704,0.00608909244704766,0.00320797145417111,0.00350048215475886,0.0320376407162778,0.00238775361172136,0.0271448001960728,0.00408280685146695,0.00272468474983805,0.00276721840569581,0.00239633877558662
DEL,C,1,5+,0.0173863659333363,0.00289192771424349,0.00149774723501371,0.00269798471168193,0.109227090598346,0.00799412465620084,0.111208642861785,0.00546074880469752,0.00256056319046974,0.00278805304119386,0.00886032646711927
DEL,T,1,0,0.0215880237398136,0.0472133404498361,0.0237846295873696,0.0749753545429953,0.0564773128620666,0.0067173647013125,0.0528292342591715,0.413559223207732,0.00711860584739764,0.0447717376275411,0.00592106718768881
DEL,T,1,1,0.0122030385344381,0.0143639060744627,0.00783523780846819,0.0921758291696873,5.52107141262296e-05,1.2152508422905e-05,4.22840596142598e-05,0.0172375650813903,0.136391687443166,0.216049487941481,1.7019451531155e-05
DEL,T,1,2,0.0230285365993976,0.121111584800577,0.015767497908358,0.0789042884887585,0.0728042577203659,0.00377347138103622,0.0465320415292108,0.0372022890814178,0.0288320215839865,0.0671935935389901,0.00472970558050796
DEL,T,1,3,0.0264497254870254,0.498115586774265,0.0114062633758136,0.0840322807919306,0.237125957560823,0.00695213346755749,0.1799687880997,0.0255073604565815,0.0201782787117658,0.0642274990671766,0.00688096425404595
