Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I,ID83J
DEL,C,1,0,0.0021759,6.06e-06,0.00161777,0.03003139,0.08268764,0.00381884,0.02277915,0.3730158,0.0105308,0.00313226
DEL,C,1,1,0,5.87e-06,0.00349323,0.01907862,0.23273599,0.00474617,0.00131233,0.09592913,0.00051093,0.00010037
DEL,C,1,2,0,0,0.00437059,0,0.210493,0.00793968,0.00389579,0,0.00113553,0
DEL,C,1,3,0.00227327,0.00187351,0.00794783,0.00495199,0.07509907,0.00557348,1.953e-05,0.01030956,0.00116169,0.00054468
DEL,C,1,4,0.00352965,0.00055907,0.00251101,0.00079312,0.04391507,0.00030009,0.00170958,0.01425349,0.0020347,0.00124338
DEL,C,1,5+,0.01469501,0.0021079,0.0087696,0.00162495,0.02625386,0.00031582,0.00107374,0.00042317,0.00221555,0.00343673
DEL,T,1,0,0.00577379,0.00089145,0.12395642,0.03333054,0.02351801,0.07064583,0.00023594,0.11889476,0.00484721,0.01641841
DEL,T,1,1,0,1e-08,0.00575722,0.00168823,0.00309349,0.39897731,1.344e-05,0.00702988,0.00683963,0
DEL,T,1,2,0.00636958,6.837e-05,0.14645793,0.00375814,0.00258806,0.06610398,0.00791403,0.0894856,0.00122866,0.00582823
DEL,T,1,3,0.01867664,0.00130583,0.11050295,0.0039595,0.00233311,0.07333347,0.01950949,0.11714321,0.00430121,0.01394269
DEL,T,1,4,0.04321308,0.00294551,0.09473793,0.00724738,0.00199307,0.02185603,0.01430955,0.10736469,0.0029585,0.01052782
DEL,T,1,5+,0.8315932,0.00033019,0.01195482,0.00036931,0.0007875,0.00187904,0.00021208,0.00824133,0.00042721,0.06118584
INS,C,1,0,1e-08,2e-08,4e-08,1.5e-07,1.2e-07,5e-08,1e-08,2.4e-07,7e-08,0.53460955
INS,C,1,1,0.00017899,5.26e-06,0.00777319,0.00194222,0.0055893,0.00306315,0.00143966,0,8.615e-05,0.01412256
INS,C,1,2,5.6e-06,1e-08,0.00593596,0.0015901,0.00394046,0.00363238,1.89e-05,0,7.603e-05,0.00048022
INS,C,1,3,0.00039895,0.00069666,0.0016689,0.00017718,0.00883279,0.00038381,7.7e-07,4.47e-06,0.00063177,0.00074343
INS,C,1,4,0.00269609,0.00121636,0.00295832,0.00068714,0.00818872,5.55e-06,0.00028821,9.139e-05,0.0001402,0.00073959
INS,C,1,5+,0.00773263,0.02022606,0.02678018,0.00596066,0.00824598,5.9e-07,1.747e-05,7.681e-05,0.0014998,0.00288349
INS,T,1,0,0.00102541,0.00221819,0.00200144,0.00337038,0.01715361,0.0230306,0.00633963,0.01400037,0.00432625,0.03861735
INS,T,1,1,0,1e-08,0.00860633,0.00438078,0.0679789,0.0123972,0.00018789,0.0043002,0.00023476,0.00288261
INS,T,1,2,0.00042538,2.022e-05,0.03497047,8.53e-05,0.05583723,0.0160272,0,5.97e-06,6.11e-06,0.00133771
INS,T,1,3,0.00099983,0.00327415,0.0265965,0.00099376,0.03234452,0.01686484,1.989e-05,0.00010663,0.00026903,0.00026282
INS,T,1,4,0.00327958,0.01395212,0.02696491,0.00331181,0.00850855,0.01265809,0.00048039,0.00194246,0.00159731,0.00478632
INS,T,1,5+,0.00314885,0.91695962,0.04742438,0.01256754,0.00185999,0.00052949,0.00662849,0.0059297,0.00438671,0.16941502
DEL,repeats,2,0,2.638e-05,0.00013063,0.01791653,0.00712782,0.00882694,0.02738045,0.00011017,0.0124084,0.08974988,0.00028497
DEL,repeats,2,1,0.00289155,7.608e-05,0.01522114,0.00694134,0.01192857,0.0099225,0.00030047,0.0002924,0.21201454,0.00513044
DEL,repeats,2,2,0.0017017,0.00043672,0.00192847,0.000141,0.01346051,0.0024233,0.00161719,0,0.04632677,0.00201584
DEL,repeats,2,3,0.00095097,0.00013403,0.00013182,3.647e-05,0.00608974,6.171e-05,0.00041164,4.23e-06,0.00986495,9.272e-05
DEL,repeats,2,4,0.00091818,7.91e-06,0.00059638,0.0002082,0.00324528,0.00013164,0.00011743,0.00014993,0.00346033,0.0003344
DEL,repeats,2,5+,0,1e-08,0.01925651,4.488e-05,0.00111164,0.01764152,3.86e-06,2e-05,0.0010191,0
DEL,repeats,3,0,0,9.3e-06,0.0119055,0.01389599,0.00210258,0.01677317,0.00078422,0.00088589,0.00499699,0.00143236
DEL,repeats,3,1,0.00419786,0.00363577,0.01018238,0.00188249,1.26e-06,0.00070648,0.00412453,0.00117559,0.09822393,0.00384931
DEL,repeats,3,2,0.00202491,0.00056251,0.001629,0.00034974,3.89e-06,0.00050299,0.00048837,0.00042047,0.01492644,0.00151775
DEL,repeats,3,3,0.00048174,0.00026167,0.00118436,0.00037618,4.531e-05,0.00018521,0.00012687,0.00023033,0.00368255,0.00025821
DEL,repeats,3,4,0,1e-08,0.00602868,1e-08,1.897e-05,0.00376546,1e-08,6.65e-06,0.00042585,8.59e-06
DEL,repeats,3,5+,0,1e-08,0.00845993,0,0.00039456,0.00598167,3.524e-05,2.86e-06,0.00018339,3.49e-05
DEL,repeats,4,0,0,3.524e-05,0.00594967,0.0073121,0.00078225,0.01307245,0.00234134,0.00033678,0.00656931,0.0002875
DEL,repeats,4,1,0.00189337,0.00039967,0.00198421,0.00060261,0.00101196,0.00036745,0.00246985,0.00243935,0.05708323,4.833e-05
DEL,repeats,4,2,0.00048147,0,2.373e-05,0,0,6.508e-05,0.00054708,2.786e-05,0.01034446,0.00045851
