Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3400
low confidence hdp.3,3024
low confidence hdp.4,3000
low confidence hdp.5,2195
low confidence hdp.6,1991
low confidence hdp.7,1733
low confidence hdp.8,1584
low confidence hdp.9,1200
low confidence hdp.10,1072
low confidence hdp.11,1014
low confidence hdp.12,1000
low confidence hdp.13,999
low confidence hdp.14,600
low confidence hdp.15,600
low confidence hdp.16,400
low confidence hdp.17,200
low confidence hdp.18,200
low confidence hdp.19,197
low confidence hdp.20,95
low confidence hdp.21,41
low confidence hdp.22,41
low confidence hdp.23,6
low confidence hdp.24,4
low confidence hdp.25,2
low confidence hdp.26,2
low confidence hdp.27,2
