Signature,NumberOfPostSamples
low confidence hdp.1,2600
low confidence hdp.2,2599
low confidence hdp.3,2400
low confidence hdp.4,2000
low confidence hdp.5,1798
low confidence hdp.6,1628
low confidence hdp.7,1600
low confidence hdp.8,1400
low confidence hdp.9,1264
low confidence hdp.10,1188
low confidence hdp.11,984
low confidence hdp.12,932
low confidence hdp.13,797
low confidence hdp.14,400
low confidence hdp.15,400
low confidence hdp.16,200
low confidence hdp.17,200
low confidence hdp.18,200
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
low confidence hdp.23,2
low confidence hdp.24,2
