Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,2792
low confidence hdp.3,1994
low confidence hdp.4,1932
low confidence hdp.5,1641
low confidence hdp.6,1563
low confidence hdp.7,1497
low confidence hdp.8,1212
low confidence hdp.9,991
low confidence hdp.10,600
low confidence hdp.11,600
low confidence hdp.12,374
low confidence hdp.13,200
low confidence hdp.14,197
low confidence hdp.15,85
low confidence hdp.16,8
low confidence hdp.17,2
low confidence hdp.18,2
low confidence hdp.19,2
