"ex.sig","gt.sig","sim"
"SBS96A","SBS7a",0.965521039813456
"SBS96B","SBS7b",0.997174865498559
"SBS96C","SBS2",0.999937283031698
"SBS96E","SBS4",0.969379725204199
"SBS96F","SBS40",0.904156047171196
"SBS96G","SBS1",0.999992346988307
"SBS96I","SBS44",0.976234557440786
"SBS96J","SBS17b",0.999973934870169
"SBS96K","SBS13",0.999984204517097
"SBS96L","SBS26",0.995489195437402
"SBS96M","SBS36",0.995274300162566
"SBS96O","SBS7c",0.999491523324113
"SBS96P","SBS12",0.948339418230952
"SBS96Q","SBS17a",0.999951582518515
"SBS96R","SBS7d",0.999950508337001
"SBS96U","SBS22",0.998632134910048
"SBS96V","SBS37",0.96592566022232
"SBS96X","SBS28",0.98695294344493
"SBS96Y","SBS34",0.993036839354152
