Signature,NumberOfPostSamples
low confidence hdp.1,3392
low confidence hdp.2,2020
low confidence hdp.3,1200
low confidence hdp.4,1200
low confidence hdp.5,1000
low confidence hdp.6,400
low confidence hdp.7,200
low confidence hdp.8,200
low confidence hdp.9,200
low confidence hdp.10,199
low confidence hdp.11,182
low confidence hdp.12,9
low confidence hdp.13,2
