Down_samp_level,Approach,mean(PPV),mean(TPR),mean(aver_Sim_TP_only),mean(Composite),sd(Composite)
10k,mSigHdp,0.780,1.000,0.990,2.77,0.069128
10k,SigProfilerExtractor,0.920,0.818,0.989,2.73,0.044510
1k,mSigHdp,0.768,1.000,0.989,2.76,0.059366
1k,SigProfilerExtractor,0.900,0.818,0.991,2.71,0.000462
3k,mSigHdp,0.707,1.000,0.991,2.70,0.039383
3k,SigProfilerExtractor,0.900,0.818,0.991,2.71,0.000421
5k,mSigHdp,0.786,1.000,0.991,2.78,0.103692
5k,SigProfilerExtractor,0.867,0.818,0.990,2.68,0.043873
non_hyper,mSigHdp,0.664,1.000,0.986,2.65,0.032938
non_hyper,SigProfilerExtractor,1.000,0.891,0.986,2.88,0.041312
