Type,Subtype,Indel_size,Repeat_MH_size,hdp.1,hdp.2,hdp.3,hdp.4,hdp.5,hdp.6,hdp.7,hdp.8,hdp.9,hdp.10,hdp.11,hdp.12,hdp.13,hdp.14,hdp.15,hdp.16,hdp.17,hdp.18
DEL,C,1,0,0.0308759219506476,0.0121178934625346,0.0467180202936297,0.0044349946871979,0.0369209403382464,0.0184211073677114,0.0151624107457926,0.0319635991162782,0.0336558609933643,0.139998977633988,0.335985837660973,0.00036757349103026,0.0101421579038339,0.00897728636198795,0.00191365660459295,0.0253263986455485,0.0118233770695548,0.0671844473721085
DEL,C,1,1,0.00607416883386478,0.00244784677974454,0.0148401343639829,0.000105361695132948,0.0234240494911338,0.0294650730677428,0.0203702902144154,0.00831021954931688,0.0189760026863252,0.145538176405867,0.0984296215053688,0.000611422917106582,0.00209547190075705,0.00883152071699002,0.00422218576713842,0.0276252748206756,0.0395797594738673,0.31951242534271
DEL,C,1,2,0.00857424884892864,0.00334821129653883,0.0070578195035702,1.86436005232752e-05,0.00250867336997817,0.025873681973229,0.0227362219156882,0.0143216122066121,0.00271238471582713,0.218238915189564,0.00231064719728199,1.23615607285812e-05,0.000229068283665266,0.00281906400849955,0.000276283731109435,0.030021040629639,0.0193927394321993,0.135807308848274
DEL,C,1,3,0.000815109766161684,0.00153986249601603,0.00508353807617299,0.00283802403982298,0.00592440926423367,0.0156247594727222,0.00962598746069656,0.0107693054383882,0.00570186982714823,0.0716448039233224,0.0107543406864899,0.00172463111603326,0.000663982775155155,0.00233627004735172,0.0158660556142068,0.0132489313858881,0.0145229241954629,0.0557725418393424
DEL,C,1,4,0.00259019888113551,0.00234828093237022,0.00403210448998343,0.00371933199870116,0.00187749012790409,0.00363111177077319,0.00244831584470118,0.00721479504009147,0.00101394322852854,0.0433601743090922,0.0130344511768678,0.00069124776084734,0.00169280965084991,0.00323574580528535,0.00503621335711133,0.0031681490112635,0.00123276203653415,0.0406148280985617
DEL,C,1,5+,0.00187327630383525,0.00224864812746571,0.00139911436242318,0.0141562087378702,0.000811068326739139,0.00350774167447535,0.00137288031070154,0.0101232561917736,0.000603111427499412,0.0257975569066934,0.000579009185286237,0.00243994733217233,0.00308195399668669,0.000702711225277357,0.0205088081851138,0.00252527027983877,0.00161117153108125,0.022297806032315
DEL,T,1,0,0.00232189131928919,0.00753127586234603,0.0399570327514991,0.0082046332046332,0.0378155302985745,0.199013104756703,0.0802469871178203,0.0287970377923108,0.0283310183148151,0.028402962626936,0.105167569830544,0.000899507391151607,0.0194228703289447,0.0155169785986346,0.00684808121866396,0.0868987923867744,0.056810415107514,0.0347887356687116
DEL,T,1,1,0.000831560158330783,0.00335246979545814,0.513101625216144,1.68279946564165e-05,0.00775084862522131,0.0728318452993974,0.0887670209515753,0.0203896381567802,0.011272017645427,0.00717756187147364,0.0390933625651523,1.54976860719845e-05,0.000509800201000866,0.00909046751293381,0.000214730482890879,0.118986582782137,0.0743129232486345,0.0203260009432869
DEL,T,1,2,0.00935160444215126,0.00566156718116833,0.019120537867374,0.00750690620588673,0.00762319826326112,0.0866083877300717,0.153447368636634,0.0273307974325726,0.00915453549130281,0.0110472213363063,0.0851301066200913,0.000211687153960828,0.00890368568408794,0.019002127154397,0.0138106571261014,0.0980520874487074,0.248026962894937,0.00719574722754717
DEL,T,1,3,0.0214386453224836,0.00631467093052219,0.0563819618601607,0.018693663271082,0.00838611123971489,0.0747877264144458,0.185897330399302,0.084979082316987,0.0101127419832123,0.0155263520384896,0.10645064501867,0.00158478736681423,0.0160286712150372,0.0054010763841847,0.0113544566387014,0.0826515195314917,0.0288477351576778,0.00997615134745709
DEL,T,1,4,0.0169404488482725,0.00437128218313688,0.0137681888150433,0.0408131856466867,0.00127829127561911,0.0445646022346446,0.0350894164680306,0.40975333281144,0.00150717700301077,0.014032810432208,0.0945227781402332,0.00432703627458834,0.00962269242313204,0.00589604181037473,0.042837954862269,0.0539568551412363,0.0292400878696273,0.0154232826315944
DEL,T,1,5+,0.00289233684684453,0.00218795782211259,0.00669899048560728,0.812861801885113,0.0133103298929278,0.0305504319716971,0.0181429915464294,0.0132979158562588,0.00866844948749628,0.0079554215969008,0.00414244342543064,0.000903346531259489,0.0549969542244039,0.00866758770073907,0.0129796882751509,0.0282827351971913,0.0288404934206923,0.0135663095699988
INS,C,1,0,0.0022861125878397,0.000455980780510538,0.00283590416766891,1.26253838690045e-05,0.00255933729985484,0.000673587722755168,0.000698754022008884,0.000801294985248625,0.00266382081512283,0.00268984128209216,0.000210598396750744,1.17369490976868e-05,0.547255804225637,0.000700038892546691,0.000264989557124379,0.000389763267919455,0.000589017597800204,0.00228347923814656
INS,C,1,1,0.00173731557496133,0.000325627860760477,0.0023341430612757,0.000193203086175823,0.00184455622901735,0.00119968319087583,0.000943685617578763,0.00256370322678102,0.00220487211015287,0.00125781518000758,0.000216879125031986,6.81858985600526e-05,0.0149073948419878,0.121561833411583,0.000411249110230856,0.00131179763530298,0.00131854788276152,0.00139418787092343
INS,C,1,2,0.000148448617819806,0.000213782002351548,0.00203640881408463,3.32230521458698e-05,0.00222907224655886,0.00351256917772482,0.0015366264252887,0.00279359693413355,0.000856353892935544,0.00222057569311045,0.000386131414757568,1.40171735661196e-05,0.000516798002074675,0.066465361414026,0.000207530446975406,0.0033213581585694,0.00223924852932104,0.00110504575523903
INS,C,1,3,0.000105302651638598,0.00088524550648015,0.000393897857503435,0.000307804674538822,0.000113741812029916,0.000214104632452153,0.000915873707336313,0.00111343918507116,0.000258744285412697,0.00567228297760384,0.000222305043769159,0.000795493873980958,0.000649883245268817,0.0265356801444982,0.00540186223987753,0.000499364325422323,0.000347948219925299,0.00688204763571211
INS,C,1,4,0.000451516203053338,9.46109901411733e-05,0.000318506870269385,0.00251400372319723,0.000422267795923698,0.00028976281964605,0.000390977216250751,0.00160578523410292,0.000227742762219006,0.00838699539752509,0.00037686794679064,0.00135009804017843,0.000812206825622834,0.00776701157050457,0.0179187717359908,0.000104483036921382,0.000479357009161705,0.00569513820376549
INS,C,1,5+,0.000312813096582119,0.000888057722747616,0.000917183491767861,0.0084741443917374,0.000398764515173416,0.000366542134317819,0.000279486901288883,0.00809514525420443,0.000799054756414231,0.010412406594347,0.000665448011380777,0.0218243524536558,0.00224329178779637,0.00128006983456666,0.180772995855885,0.00018953401708953,0.000521175166548169,0.0072272676714305
INS,T,1,0,0.00687256094224407,0.00373002991662448,0.0384454434574563,0.00118436787608717,0.00494193110070101,0.00487255824002562,0.0039442833456825,0.00707695797903323,0.00440961471657053,0.0177421527195891,0.0138290481791514,0.00241876280547764,0.039486570642363,0.00420333236298462,0.0137170566592003,0.00531937500618085,0.00777094703171719,0.0219474613824943
INS,T,1,1,0.00129639703448738,0.00123811169051694,0.00487711514703082,2.3918803391001e-05,0.00516306708060809,0.0145290135018611,0.0125766384689783,0.0122021608025224,0.00325873590944531,0.041632230957288,0.0105084525992709,3.18787141156943e-05,0.00341322943761975,0.208262233001679,0.000259483647306664,0.014125514811138,0.0114822222886112,0.0484925394485066
INS,T,1,2,0.000671514536942745,0.00035105833072199,0.00717714178150367,0.000563220051540273,0.00126717850247633,0.0244542526773868,0.0251633295242341,0.0161712291082785,0.00206961590257409,0.0460418621298151,0.00236648262920307,9.42680076660232e-05,0.00165596149371043,0.132514018574689,0.00342862886751341,0.0302452756169337,0.0420939526174069,0.0340628056110392
INS,T,1,3,0.000838168203784158,0.000805030385327195,0.0118362446401845,0.00115039205931767,0.0016817916139462,0.0213843547971005,0.0179801572977519,0.00685554824746127,0.000732268426903716,0.0250006279397515,0.00169692425703592,0.00337434934464487,0.000463956520698849,0.0849421393927827,0.0330254353268774,0.0223124927251428,0.0177658659761621,0.0228532491265421
