Group.1,x
hdp.1,8000
hdp.2,7401
hdp.3,6399
hdp.4,5400
hdp.5,4397
hdp.6,4200
hdp.7,4046
hdp.8,4031
hdp.9,4000
hdp.10,4000
hdp.11,4000
hdp.12,4000
hdp.13,4000
hdp.14,4000
hdp.15,4000
hdp.16,4000
hdp.17,4000
hdp.18,4000
hdp.19,3999
hdp.20,3999
hdp.21,3949
hdp.22,3919
hdp.23,3835
hdp.24,3802
hdp.25,3791
hdp.26,3601
hdp.27,3600
