Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,2252
low confidence hdp.3,1797
low confidence hdp.4,1793
low confidence hdp.5,1491
low confidence hdp.6,1195
low confidence hdp.7,1181
low confidence hdp.8,1076
low confidence hdp.9,978
low confidence hdp.10,800
low confidence hdp.11,799
low confidence hdp.12,461
low confidence hdp.13,400
low confidence hdp.14,141
low confidence hdp.15,70
low confidence hdp.16,4
low confidence hdp.17,2
low confidence hdp.18,2
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
