Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID5 0.996),hdp.2 (ID6 0.998),hdp.3 (ID4 0.992),hdp.4 (ID13 0.998),hdp.5 (ID1 1),hdp.6 (ID9 1),hdp.7 (ID3 0.979),hdp.8 (ID2 1),hdp.9 (ID14 0.975),hdp.10 (ID8 0.987),hdp.11 (ID11 0.976),hdp.12 (False Positive) (ID5 0.128)
DEL,C,1,0,0.0215161216918859,0.0300545820405815,0.0120598286932897,0.0466217871621631,0.000486279163928897,0.334494745565197,0.13604297241619,0.00404669355991876,0.010551314208987,0.0342655445659749,0.0085355668869242,0.00301179748489668
DEL,C,1,1,0.0281742449400943,0.00618474962245688,0.00239459084057996,0.0145137247486066,0.000570023142198031,0.0974214800195199,0.156712663056557,3.895297159332e-05,0.00242251097260161,0.0197530795008356,0.00963411888389338,0.00420400726269434
DEL,C,1,2,0.0273586912197464,0.0082828447105179,0.00327781715591006,0.00707616643874224,6.3768053553808e-06,0.00242930033810986,0.210991316670965,2.84367151659021e-06,0.000350508642351792,0.00267045261957677,0.00273851732750329,9.07437392012154e-05
DEL,C,1,3,0.0136100307917445,0.00090235032448917,0.00153505756808346,0.00490919495468991,0.00189566170660326,0.0110065056791419,0.0714241159054455,0.00224424292682592,0.000866574861513789,0.00566375560472469,0.00239504769383707,0.0136790595242184
DEL,C,1,4,0.003064454979444,0.00260412273426508,0.00232021285773769,0.0040419007911233,0.000835007640527635,0.0131162155254673,0.0435279094873044,0.00332694273579671,0.00193067415067213,0.00111157947943908,0.00330080892384927,0.00619477792147312
DEL,C,1,5+,0.00250950446054599,0.00185995620289679,0.00229678540063496,0.00139985469597486,0.00274755238033075,0.000670976560892756,0.0255553431142665,0.0133679912624098,0.00360664050204189,0.000599684733561116,0.000759213594023469,0.019058102353506
DEL,T,1,0,0.118518879257745,0.00311204241662357,0.00757003202181135,0.0392506780654763,0.00148094702104391,0.105983243000858,0.0281038928219723,0.00634206731880218,0.0197246736816189,0.0291446957722503,0.0165751195563733,0.0104888898829518
DEL,T,1,1,0.0978353977132604,0.000964268495994215,0.00334417165404054,0.515444733817776,7.11793022071398e-06,0.0389962893276411,0.00793569606233909,2.8199906989642e-06,0.000550126968522613,0.0108364757692786,0.00889453974125125,7.70842502897649e-05
DEL,T,1,2,0.109773848186819,0.00969096132991354,0.00538837104641393,0.0193009182227823,0.000360134492659999,0.0846608489547028,0.0106396273788888,0.00667003184241142,0.00799480370164965,0.00890732226349547,0.0208881466395003,0.0131558451828734
DEL,T,1,3,0.0898700600600935,0.02127133057726,0.00650999550069816,0.0550129188731346,0.00209732908932529,0.105630023151536,0.0151259916740172,0.0167444298671471,0.0157665075007982,0.0102594298432566,0.00554673251522675,0.0116436359163081
