Type,Subtype,Indel_size,Repeat_MH_size,hdp.1,hdp.2,hdp.3,hdp.4,hdp.5,hdp.6,hdp.7,hdp.8,hdp.9,hdp.10,hdp.11,hdp.12,hdp.13,hdp.14,hdp.15
DEL,C,1,0,0.0196397224373189,0.00438987339084609,0.117086821156681,0.0387241506633367,0.0293002136456148,0.0190469855489521,0.000268896434808799,0.0130179739560737,0.00838049350722308,0.324628762745841,0.00282881762363149,0.0507218386953954,0.0483091835844395,0.0107178822612098,0.00234353427266025
DEL,C,1,1,0.0278421164436124,0.000110019378341364,0.217679712738268,0.0221311426440699,0.00570296139350686,0.0152199352891497,0.000756516134211453,0.00167261730750839,0.00232334180626822,0.095010324746963,0.00123073823357278,0.0146915932989121,0.0115083452517449,0.0238292284227157,0.000366385067946194
DEL,C,1,2,0.0270241297780612,1.8272717714406e-06,0.190381833550543,0.00291618413997316,0.00786178356473489,0.00658228049013723,6.2805198751183e-06,0.000938810311393287,0.00147690313983209,0.00265351966069288,0.000202143068381802,0.00643241437178675,0.00203309243703179,0.0177095809768503,8.54959830052104e-06
DEL,C,1,3,0.0145077715094563,0.00226246872999304,0.0603357908540558,0.00575423968036827,0.000911552059445934,0.00823655148319477,0.00171690638271613,0.000572847655866999,0.00121119581196592,0.00943787468406744,0.000410512258059976,0.00571578948541723,0.00553161767811564,0.00740811074065417,0.00278662509092188
DEL,C,1,4,0.00245598603063503,0.00330317838000951,0.0423624101414558,0.00102288792286171,0.00286736968136924,0.0132850252520617,0.000791632298960352,0.00262269264014263,0.00166693675769967,0.0113132691184728,0.000248807785112124,0.00324801276620262,0.00319908767501105,0.00402712672886427,0.00219581913400019
DEL,C,1,5+,0.00219782658792101,0.0136012271857835,0.0227974319633655,0.000631092973514343,0.00167762882630596,0.00514076812042235,0.00329749896273174,0.00503344481940992,0.00237306398183138,0.0012137794474739,0.00076850799400286,0.00137840196234473,0.034659917541754,0.00680843719158856,0.0080054228395336
DEL,T,1,0,0.10421562018454,0.00705876847077568,0.0372467304363869,0.0356349558680305,0.00399970019408901,0.0931696485284488,0.000964316212325696,0.0235021335297913,0.00456961807615554,0.0967657581742943,0.000676875459332411,0.0485253126488544,0.0249200651995433,0.0336058585752111,0.00610141435632612
DEL,T,1,1,0.101657837938074,2.13309698510322e-06,0.0118891444552762,0.00951462089479915,0.000268761668757713,0.00323378568167178,5.95510728008776e-06,0.000569899682602382,0.000814075963231805,0.0449603689525878,0.00104406688945451,0.529156713569936,0.00401793573214296,0.00112914043304437,6.96222018654067e-06
DEL,T,1,2,0.12292923152498,0.00551148397393439,0.0150090700821247,0.00865207216124196,0.0118971024093687,0.012341332924294,0.000739800262794125,0.0123594719961608,0.00102190742397233,0.0789885351093928,0.000692896180263355,0.0218316674191745,0.0217888037943249,0.00274107741682924,0.00656772538208181
DEL,T,1,3,0.0832002800613954,0.0153957955357424,0.014460218823644,0.00864547870935815,0.0206659724192427,0.42465124881497,0.00284565988311495,0.0213978827580746,0.00124967378384211,0.115436059904928,0.00163774439927949,0.0590804797257779,0.0166073392340133,0.0072560298271709,0.0125271634266109
DEL,T,1,4,0.0525680978316031,0.039037865294835,0.0137950456485657,0.00126982065233171,0.017668953177576,0.0486491796283134,0.00439487371598707,0.0206097326973539,0.00137254903894772,0.0887096807762634,0.00125161258413156,0.0170701702592111,0.0362683250395165,0.00946502521203821,0.0347476866936531
DEL,T,1,5+,0.0264717842624471,0.79117006219613,0.00736523375029599,0.0085404158934279,0.00437703321759726,0.0363130869149872,0.00198665752250838,0.0644080223811134,0.00569920025765665,0.00192115352912637,0.0065282940529961,0.00844263274563411,0.00558803680253399,0.00294888109887714,0.345961444571351
INS,C,1,0,0.000432591375134738,1.8073953912321e-06,0.0023050640093188,0.0029651714810679,0.00216779388133116,0.000677956080247076,5.94999608749565e-06,0.580029094363545,0.000176038639204551,6.37954958331959e-05,0.000309297236103728,0.00201780943380033,0.00135305700705486,0.000419429503455817,4.78639999463891e-06
INS,C,1,1,0.00125433202811405,0.000206624910457472,0.00151082941770307,0.00203026082384572,0.00161167688968491,0.000771522621748426,2.31088375294727e-05,0.0175662200098289,7.86984665459679e-05,0.000244517487683257,0.166114887584323,0.00163003118638043,0.00249076560751836,0.00207924381185579,8.25820825437509e-05
INS,C,1,2,0.00298394833006679,8.47637268709801e-06,0.00172570722593437,0.00133142584009286,0.000273004634872475,0.00158642086260658,1.15717400285207e-05,0.00118128424854982,0.000107291183328927,0.000703769298970003,0.0937114478007855,0.00169418044745128,0.00394779720315294,0.00115851055654775,1.6221588828472e-05
INS,C,1,3,0.000502588907678888,0.000433365621157774,0.00639271707089228,0.000125951881617747,0.000218979557085648,0.00287823888201402,0.000889452574429167,0.00174949041459594,0.000406500977736115,0.000178357654016754,0.0382733650548599,0.000176247116021799,0.00141016980923245,0.00286942083323443,0.000692485108138607
