"ex.sig","ref.sig","sim"
"signeR.10","SBS1",0.998832686192061
"signeR.6","SBS2",0.993080937870479
"signeR.11","SBS3",0.965934476440384
"signeR.2","SBS4",0.99624162061549
"signeR.7","SBS7a",0.950571384816688
"signeR.24","SBS7d",0.96235293739028
"signeR.5","SBS12",0.944503352921036
"signeR.23","SBS13",0.998825735720396
"signeR.21","SBS17a",0.998488210160967
"signeR.8","SBS17b",0.999208855663438
"signeR.16","SBS18",0.993416812386809
"signeR.28","SBS28",0.985902671591354
"signeR.1","SBS40",0.963497037947584
"signeR.9","SBS44",0.972161549216745
