"ex.sig","gt.sig","sim"
"signeR.1","ID2",0.999992634243986
"signeR.2","ID1",0.999999049937907
"signeR.4","ID5",0.983778224384342
"signeR.5","ID8",0.999340277216574
"signeR.6","ID3",0.99806975847742
"signeR.7","ID6",0.999920361639907
"signeR.8","ID14",0.99888496467366
"signeR.9","ID9",0.999321937436013
"signeR.10","ID4",0.992370230343386
