prog,noise,seed,ex.sig,gt.sig,sim
mSigHdp,Noiseless,145879,hdp.1,ID1,0.998
mSigHdp,Noiseless,145879,hdp.2,ID2,1
mSigHdp,Noiseless,145879,hdp.6,ID3,1
mSigHdp,Noiseless,145879,hdp.4,ID4,1
mSigHdp,Noiseless,145879,hdp.3,ID5,1
mSigHdp,Noiseless,145879,hdp.8,ID6,1
mSigHdp,Noiseless,145879,hdp.10,ID8,1
mSigHdp,Noiseless,145879,hdp.5,ID9,1
mSigHdp,Noiseless,145879,hdp.11,ID10,0.997
mSigHdp,Noiseless,145879,hdp.9,ID11,1
mSigHdp,Noiseless,145879,hdp.12,ID12,0.998
mSigHdp,Noiseless,145879,hdp.13,ID13,1
mSigHdp,Noiseless,145879,hdp.7,ID14,0.99
signeR,Noiseless,145879,signeR.1,ID2,1
signeR,Noiseless,145879,signeR.2,ID1,1
signeR,Noiseless,145879,signeR.4,ID5,0.976
signeR,Noiseless,145879,signeR.8,ID3,0.999
signeR,Noiseless,145879,signeR.9,ID9,0.999
signeR,Noiseless,145879,signeR.10,ID14,0.992
signeR,Noiseless,145879,signeR.11,ID4,0.999
signeR,Noiseless,145879,signeR.12,ID11,0.998
SigProfilerExtractor,Noiseless,145879,ID83A,ID2,1
SigProfilerExtractor,Noiseless,145879,ID83B,ID1,1
SigProfilerExtractor,Noiseless,145879,ID83C,ID5,0.97
SigProfilerExtractor,Noiseless,145879,ID83D,ID8,0.998
SigProfilerExtractor,Noiseless,145879,ID83E,ID3,0.99
SigProfilerExtractor,Noiseless,145879,ID83F,ID6,0.997
SigProfilerExtractor,Noiseless,145879,ID83G,ID9,0.995
SigProfilerExtractor,Noiseless,145879,ID83H,ID4,0.999
SigProfilerExtractor,Noiseless,145879,ID83I,ID11,0.992
SigProfilerExtractor,Noiseless,145879,ID83J,ID14,1
NR_hdp_gb_1,Noiseless,145879,hdp.2,ID1,0.998
NR_hdp_gb_1,Noiseless,145879,hdp.1,ID2,1
NR_hdp_gb_1,Noiseless,145879,hdp.5,ID3,1
NR_hdp_gb_1,Noiseless,145879,hdp.10,ID4,1
NR_hdp_gb_1,Noiseless,145879,hdp.3,ID5,1
NR_hdp_gb_1,Noiseless,145879,hdp.6,ID6,1
NR_hdp_gb_1,Noiseless,145879,hdp.4,ID8,1
NR_hdp_gb_1,Noiseless,145879,hdp.7,ID9,1
NR_hdp_gb_1,Noiseless,145879,hdp.12,ID10,0.995
NR_hdp_gb_1,Noiseless,145879,hdp.11,ID11,0.999
NR_hdp_gb_1,Noiseless,145879,hdp.13,ID12,0.998
NR_hdp_gb_1,Noiseless,145879,hdp.9,ID13,1
NR_hdp_gb_1,Noiseless,145879,hdp.8,ID14,0.983
SignatureAnalyzer,Noiseless,145879,W.1,ID1,1
SignatureAnalyzer,Noiseless,145879,W.2,ID11,0.998
SignatureAnalyzer,Noiseless,145879,W.3,ID6,0.996
SignatureAnalyzer,Noiseless,145879,W.4,ID5,0.993
SignatureAnalyzer,Noiseless,145879,W.5,ID13,0.984
SignatureAnalyzer,Noiseless,145879,W.7,ID2,1
SignatureAnalyzer,Noiseless,145879,W.8,ID8,0.998
SignatureAnalyzer,Noiseless,145879,W.9,ID9,0.994
SignatureAnalyzer,Noiseless,145879,W.10,ID3,0.991
SignatureAnalyzer,Noiseless,145879,W.11,ID4,1
mSigHdp,Noiseless,200437,hdp.1,ID2,0.999
mSigHdp,Noiseless,200437,hdp.2,ID1,0.998
mSigHdp,Noiseless,200437,hdp.3,ID5,1
mSigHdp,Noiseless,200437,hdp.4,ID11,0.999
mSigHdp,Noiseless,200437,hdp.5,ID4,1
mSigHdp,Noiseless,200437,hdp.6,ID14,0.988
mSigHdp,Noiseless,200437,hdp.7,ID8,1
mSigHdp,Noiseless,200437,hdp.8,ID6,1
mSigHdp,Noiseless,200437,hdp.9,ID13,1
mSigHdp,Noiseless,200437,hdp.10,ID9,1
