"Approach","Noise_level","Run","CPU_time"
"SigProfilerExtractor","Noiseless","seed.145879","308465.39999999997"
"SigProfilerExtractor","Noiseless","seed.200437","306714.18"
"SigProfilerExtractor","Noiseless","seed.310111","301380.06000000006"
"SigProfilerExtractor","Noiseless","seed.528401","299888.3399999999"
"SigProfilerExtractor","Noiseless","seed.1076753","298735.21000000014"
"SigProfilerExtractor","Realistic","seed.145879","171996.2"
"SigProfilerExtractor","Realistic","seed.200437","173403.91999999998"
"SigProfilerExtractor","Realistic","seed.310111","171235.3"
"SigProfilerExtractor","Realistic","seed.528401","175469.36000000002"
"SigProfilerExtractor","Realistic","seed.1076753","175572.03"
