Data_set,Noise_level,Approach,Run,PPV,TPR,aver_Sim_TP_only,Composite,N_Sigs,FN,FP
SBS_set1,Moderate,mSigHdp,seed.1076753,0.916666666666667,0.956521739130435,0.996829696462298,2.8700181022594,24,1,2
SBS_set1,Moderate,mSigHdp,seed.145879,0.88,0.956521739130435,0.996677845518691,2.83319958464913,25,1,3
SBS_set1,Moderate,mSigHdp,seed.200437,0.846153846153846,0.956521739130435,0.996898865530279,2.79957445081456,26,1,4
SBS_set1,Moderate,mSigHdp,seed.310111,0.88,0.956521739130435,0.996850836412267,2.8333725755427,25,1,3
SBS_set1,Moderate,mSigHdp,seed.528401,0.916666666666667,0.956521739130435,0.996922055558353,2.87011046135545,24,1,2
SBS_set1,Noiseless,mSigHdp,seed.1076753,1,0.956521739130435,0.999450307082449,2.95597204621288,22,1,0
SBS_set1,Noiseless,mSigHdp,seed.145879,1,0.956521739130435,0.999479215859216,2.95600095498965,22,1,0
SBS_set1,Noiseless,mSigHdp,seed.200437,1,0.956521739130435,0.999456427150412,2.95597816628085,22,1,0
SBS_set1,Noiseless,mSigHdp,seed.310111,1,0.956521739130435,0.99948580176267,2.95600754089311,22,1,0
SBS_set1,Noiseless,mSigHdp,seed.528401,1,0.956521739130435,0.999505657341688,2.95602739647212,22,1,0
SBS_set1,Realistic,mSigHdp,seed.1076753,0.769230769230769,0.869565217391304,0.988321177158316,2.62711716378039,26,3,6
SBS_set1,Realistic,mSigHdp,seed.145879,0.8,0.869565217391304,0.988867848582342,2.65843306597365,25,3,5
SBS_set1,Realistic,mSigHdp,seed.200437,0.740740740740741,0.869565217391304,0.987666403067243,2.59797236119929,27,3,7
SBS_set1,Realistic,mSigHdp,seed.310111,0.769230769230769,0.869565217391304,0.988858908309509,2.62765489493158,26,3,6
SBS_set1,Realistic,mSigHdp,seed.528401,0.8,0.869565217391304,0.988542522774846,2.65810774016615,25,3,5
SBS_set1,Realistic,NR_hdp_gb_20,seed.1076753,0.538461538461538,0.91304347826087,0.984238585022899,2.43574360174531,39,2,18
SBS_set1,Realistic,NR_hdp_gb_20,seed.145879,0.536585365853659,0.956521739130435,0.983794337557183,2.47690144254128,41,1,19
SBS_set1,Realistic,NR_hdp_gb_20,seed.200437,0.488888888888889,0.956521739130435,0.983738133905531,2.42914876192486,45,1,23
SBS_set1,Realistic,NR_hdp_gb_20,seed.310111,0.6,0.91304347826087,0.984685985104181,2.49772946336505,35,2,14
SBS_set1,Realistic,NR_hdp_gb_20,seed.528401,0.51219512195122,0.91304347826087,0.985517372083078,2.41075597229517,41,2,20
SBS_set1,Moderate,SignatureAnalyzer,seed.1076753,0.388888888888889,0.608695652173913,0.979319742594265,1.97690428365707,36,9,22
SBS_set1,Moderate,SignatureAnalyzer,seed.145879,0.45945945945946,0.739130434782609,0.977590196109121,2.17618009035119,37,6,20
SBS_set1,Moderate,SignatureAnalyzer,seed.200437,0.472222222222222,0.739130434782609,0.979247010433402,2.19059966743823,36,6,19
SBS_set1,Moderate,SignatureAnalyzer,seed.310111,0.421052631578947,0.695652173913044,0.983588114239513,2.1002929197315,38,7,22
SBS_set1,Moderate,SignatureAnalyzer,seed.528401,0.405405405405405,0.652173913043478,0.988996944504627,2.04657626295351,37,8,22
SBS_set1,Noiseless,SignatureAnalyzer,seed.1076753,0.954545454545455,0.91304347826087,0.976998960969007,2.84458789377533,22,2,1
