Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 0.999),ID83B (ID1 1),ID83C (False Positive) (ID5 0.374),ID83D (False Positive) (ID5 0.884),ID83E (ID8 0.99),ID83F (ID3 0.978),ID83G (ID6 0.998),ID83H (ID9 0.993),ID83I (ID13 0.99),ID83J (ID4 0.991),ID83K (ID14 0.982)
DEL,C,1,0,0.00215342,7.6e-07,0.00384389,0.00023863,0.02849157,0.08852095,0.02206468,0.38498349,0.00291454,0.00983321,0.00290211
DEL,C,1,1,0,6.55e-06,0.00668025,0.00956923,0.01936023,0.23703267,0.00106315,0.09735558,0.00359492,0.0001831,6.917e-05
DEL,C,1,2,0,0,0,0.01054349,0,0.21827113,0.003781,0,0.00757427,0.00099256,0
DEL,C,1,3,0.00156253,0.00144487,0.01167294,0.00902116,0.00473226,0.07675678,9.54e-06,0.01011735,0.00453158,0.00067634,0.00056371
DEL,C,1,4,0.0023466,0.00020937,0.01477291,4.42e-06,0.00011148,0.04629296,0.00167344,0.01374762,0.00078323,0.00190293,0.0015328
DEL,C,1,5+,0.01145633,0.00078416,0.04660057,1.996e-05,2.348e-05,0.02689169,0.00081148,5.862e-05,0.00014205,0.00172533,0.00363328
DEL,T,1,0,0.00324992,0.00030962,0.03767614,0.14167934,0.03354909,0.02115777,0.00018014,0.12049879,0.05199571,0.00466891,0.0162547
DEL,T,1,1,0,1e-08,3e-08,0.01469096,0.00307919,0.00418221,8.78e-06,0.0019774,0.54502777,0.00154212,3e-08
DEL,T,1,2,0.00548254,1.644e-05,0.01950826,0.1720122,0.00303012,0.0005175,0.00783181,0.09282451,0.03743421,0.00212084,0.00543773
DEL,T,1,3,0.01330719,0.00064449,0.06756769,0.11565664,0.00187495,0.00107624,0.01936465,0.11608364,0.06677423,0.00404472,0.01284858
DEL,T,1,4,0.02291382,0.00017105,0.21774583,0.06231538,3.346e-05,0.00086448,0.01299685,0.10105652,0.00991289,0.00276713,0.01011606
DEL,T,1,5+,0.89100134,0.00031097,0.02696017,0.01031856,0.00016591,0.00094993,0.00018573,0.00550442,0.0015362,0.00037819,0.05809919
INS,C,1,0,0,0,1e-08,4.9e-07,1.4e-07,1.3e-07,1e-08,2.5e-07,6e-08,9e-08,0.5451035
INS,C,1,1,0.00017954,8.11e-06,0.0002732,0.01194695,0.00204491,0.00321782,0.0014862,0,0.00082873,4.29e-05,0.0146498
INS,C,1,2,1.463e-05,1.47e-06,1.78e-05,0.0094097,0.00161361,0.00303827,1.362e-05,1.117e-05,0.0014114,4.215e-05,0.00052194
INS,C,1,3,0.00021675,0.00063445,0.00288153,0.00155015,2.002e-05,0.00839274,1e-08,2.69e-06,0.00014863,0.00064866,0.00069953
INS,C,1,4,0.00181238,0.00085606,0.0129263,3.901e-05,6.777e-05,0.00831323,0.00021741,3.2e-05,7.99e-06,0,0.00072266
INS,C,1,5+,0.00356924,0.01614587,0.09353192,9.87e-06,0,0.00805982,1.03e-06,1.335e-05,0,0.00037732,0.00204057
INS,T,1,0,0.00056656,0.00192749,0.00848009,1.518e-05,0.0030688,0.01883344,0.00654834,0.01291015,0.03212446,0.00382066,0.03970364
INS,T,1,1,1e-08,3.9e-07,0,0.02452991,0.00396556,0.06103458,0.00011635,0.00611491,0.00497314,0.00038425,0.00281531
INS,T,1,2,0.00024997,1.6e-07,0.00302765,0.04683575,9.533e-05,0.05351275,0,8.66e-06,0.00809439,0,0.00139625
INS,T,1,3,0.00055001,0.0028519,0.012107,0.03133786,0.00019095,0.03024624,3.637e-05,8.813e-05,0.0132356,0.00029089,0.00024847
INS,T,1,4,0.00149798,0.01259516,0.04048636,0.01700135,0.00067199,0.0077359,0.00041188,0.00177334,0.01153112,0.00070102,0.00514841
INS,T,1,5+,0.00191393,0.93845087,0.10149753,0.0011946,0.01127441,0.00347196,0.00737581,0.00331408,0.00060307,0.00077169,0.16131027
DEL,repeats,2,0,9.67e-06,0.00013613,0.00062562,0.02456824,0.00733113,0.00867099,3.889e-05,0.01270439,0.02755609,0.09415654,0.0003111
DEL,repeats,2,1,0.00223717,3.689e-05,0.00849971,0.01969413,0.00747434,0.01177656,0.00026788,0.00048473,0.00680746,0.2031152,0.00539474
DEL,repeats,2,2,0.00129645,0.00030066,0.00517202,0.00177068,8.73e-06,0.01365736,0.00154056,2.004e-05,0.00242846,0.04707025,0.00204291
DEL,repeats,2,3,0.00091968,0.0001124,0.00098075,0,4.01e-06,0.00640105,0.00035393,1.55e-06,0,0.0108862,5.878e-05
DEL,repeats,2,4,0.00090593,3.83e-06,0.00075294,0.00068309,0.00019916,0.00326352,9.9e-05,0.00016931,3.886e-05,0.00337135,0.00025086
DEL,repeats,2,5+,0,0,3.86e-06,0.02765205,5.85e-05,0.0007829,4.12e-06,0,0.01258919,0.00119444,0
DEL,repeats,3,0,8.43e-06,6.83e-06,0.00028462,0.02221415,0.01419595,0.0012032,0.0006666,0.00147156,0.00868681,0.00510571,0.00146705
DEL,repeats,3,1,0.00207352,0.00254198,0.033108,0.00108966,0.00018211,3.71e-06,0.00381481,0.00043841,4.896e-05,0.10774785,0.00428649
DEL,repeats,3,2,0.00141385,0.00039149,0.007342,0.00019861,9.662e-05,2.29e-06,0.00049448,0.00030878,0.00062897,0.01437368,0.00148758
DEL,repeats,3,3,0.00025175,0.00015208,0.00325314,0.00050345,0.00025487,3.216e-05,0.00012158,0.00016048,4.825e-05,0.00377276,0.00036896
DEL,repeats,3,4,0,0,0,0.00755758,1.44e-05,2.34e-05,0,0,0.00263585,0.00053423,3.45e-06
DEL,repeats,3,5+,0,0,0,0.01176414,8.35e-06,0.00023607,1.626e-05,0,0.00350991,0.00044949,1.51e-05
DEL,repeats,4,0,3.5e-07,4.14e-05,0.00024189,0.01319609,0.00737287,0.00014819,0.00234724,0.0006046,0.00777061,0.00623824,0.00014857
DEL,repeats,4,1,0.00117225,0.0002534,0.00869731,0.00022791,0.00038237,0.00107363,0.00236961,0.00226065,4.476e-05,0.05861701,6.671e-05
DEL,repeats,4,2,0.00046664,0,0.00018668,0,0,0,0.00051093,1.29e-05,2.013e-05,0.01155554,0.00035795
DEL,repeats,4,3,3e-08,0,0,0.0047234,1.8e-05,5.897e-05,9.987e-05,5.4e-07,0.00165056,0.00391853,0
DEL,repeats,4,4,0,2e-08,0.00011234,0.00569919,0.00011749,0.0001913,7.87e-06,0,0.00275635,0.00018395,0
DEL,repeats,4,5+,0.00010231,1.139e-05,0.00075625,0.00199063,1.73e-06,4.378e-05,8.449e-05,0,0.00056839,0.00072552,2.353e-05
DEL,repeats,5+,0,0,0,2e-08,0.01017752,0.31173639,0.00114369,0.01220562,9.142e-05,0.0163676,0.00261692,0.0006372
DEL,repeats,5+,1,0.00322717,0,0.0014307,0,1.99e-06,0,0.0073341,7.486e-05,0.00099184,0.01263013,0.00022579
DEL,repeats,5+,2,0.00033481,7.618e-05,0.00097132,0.00025221,0.00029642,2.38e-05,0.0004263,3.309e-05,0.00031004,0.00275936,3.9e-07
DEL,repeats,5+,3,7.673e-05,2.75e-06,0.00052509,0.00026903,0,1.524e-05,0.00018796,7.286e-05,4.35e-05,0.00098706,8.094e-05
DEL,repeats,5+,4,4.394e-05,9e-08,0.00040913,5.829e-05,0,3.24e-05,8.351e-05,4.651e-05,2.08e-05,0.00010294,7.64e-06
DEL,repeats,5+,5+,3.921e-05,1.215e-05,6.927e-05,0.00087317,2.89e-06,0,0,3.145e-05,0.00037164,0.00011785,2.477e-05
INS,repeats,2,0,0.00013018,0.00049638,0.00176906,0.00609363,0.00175465,0.00225412,0.00200809,0.00070561,0.01171328,0.00079307,0.02642495
INS,repeats,2,1,0.00020729,7.97e-06,0.00089985,0.02674922,0.00126859,0.00262803,7.328e-05,0.0011439,0.00731856,0.00033778,5.95e-06
INS,repeats,2,2,0.000748,0.00014621,0.00310092,0.01027774,0.00026709,0.00122653,0.00037499,0.00039927,0.00226054,1.209e-05,0.00115576
INS,repeats,2,3,0.00027963,0.00033297,0.00244708,0.00138688,0.00034497,0.00090479,0.00032111,0.00036708,0.0009796,0.0002386,0.00099138
INS,repeats,2,4,0.00139324,0.00193415,0.01193423,2.113e-05,8.256e-05,0.00021404,4.92e-05,6.687e-05,1.354e-05,5.538e-05,0.00379396
INS,repeats,2,5+,0.00810045,0.00959607,0.11762952,0.00018134,0.00086798,0,4.17e-06,1.46e-06,0.00014835,6.3e-07,3.432e-05
INS,repeats,3,0,1.287e-05,3.064e-05,0.00025358,0.00565818,0.00035822,0.00013095,0.0010356,0.00048841,0.0012384,0.00011161,0.0080401
INS,repeats,3,1,0.00070819,0.00022242,0.00466872,0.00735815,0.00032987,0.00030466,5.287e-05,0.00050038,0.00533903,0.00039557,0.0030369
INS,repeats,3,2,0.00012664,2.427e-05,0.00064469,0.00185104,0,9.589e-05,0.00080291,4.98e-06,0.00057591,0.00105817,0.00028271
INS,repeats,3,3,1.406e-05,0.00013317,0.00025284,0,2.646e-05,2.37e-06,0.0003106,2.033e-05,8.303e-05,2.7e-06,0.00028775
INS,repeats,3,4,9.156e-05,7.637e-05,0.00057589,1.629e-05,9.386e-05,1.343e-05,0.00015294,4.719e-05,9.9e-07,0.00011629,0.00090167
INS,repeats,3,5+,0.00158369,0.00074445,0.00821025,1.31e-05,6.228e-05,9.7e-07,0,0,0,0,0.00211808
INS,repeats,4,0,2.088e-05,9.2e-07,7.6e-07,0.00298937,0.0006169,4.904e-05,0.00172262,2.98e-06,0.00224834,0.00051887,0.005326
