Signature,NumberOfPostSamples
hdp.1,7093
hdp.2,6712
hdp.3,5173
hdp.4,4600
hdp.5,4400
hdp.6,4400
hdp.7,4019
hdp.8,4002
hdp.9,4000
hdp.10,4000
hdp.11,4000
hdp.12,4000
hdp.13,4000
hdp.14,3986
hdp.15,3980
