Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12,low confidence hdp.13,low confidence hdp.14,low confidence hdp.15,low confidence hdp.16,low confidence hdp.17,low confidence hdp.18,low confidence hdp.19,low confidence hdp.20,low confidence hdp.21
DEL,C,1,2,0.0261336248527634,9.28075512162229e-06,8.68031507696854e-05,0.0248217754033148,0.0158061529751388,0.00688675299024671,0.0207841673864604,0.0305745484123153,0.121017217832615,0.000372801674147078,9.00628510038791e-05,0.0236456809533694,0.00451492460968719,0.0128603477215064,0.0272991378065079,2.98322235746164e-05,0.000739702561706766,5.53696229943892e-05,0.000218102508178844,0.000313676286072773,0.0239597909586772
DEL,C,1,3,0.0156862642528353,0.00272057061224956,0.00533260689561767,0.0143413388981328,0.0131599576854831,0.00123055197604176,0.0136900516436257,0.0127423126524763,0.0611315844669193,0.0215065539961307,0.0101277820307457,0.0122723464498273,0.00326622120898546,0.00176007492244748,0.01891105595214,0.00232393021646261,0.00256949310908666,0.00351289496997736,0.0258996728462377,0.0249895441237976,0.0194191392752092
DEL,C,1,4,0.00275358615553317,0.00227383737926203,0.0156280146395668,0.00308423911759143,0.00593870655562891,0.00124331102188629,0.0026468870874296,0.00243348962329117,0.0497547996540157,0.00249295511860266,0.0175322349954218,0.00341713086535629,0.00343238432288221,0.00316863702158163,0.00150493761089913,0.00951647932030262,0.0230475745542319,0.0127227089280441,0.00332606324972737,0.00230029276453367,0.00385527029728418
DEL,C,1,5+,0.00243837048219622,0.00874709860851287,0.0247749736050703,0.00152078710076592,0.00186942191722252,0.00106886006779384,0.00296138716230832,0.00243556120720475,0.0266885983669335,0.0131322511263427,0.223518841362865,0.00412941292592709,0.00446036358721362,0.00135583517563715,0.00218124895749131,0.0151756521324073,0.0258895896597368,0.020529825770253,0.00384405670665213,0.00334588038477624,0.00251306508267413
DEL,T,1,0,0.147427472391434,0.00573536001666178,0.0429152314904594,0.0852036853324312,0.0667228966391117,0.0106565870720012,0.108979858759071,0.220341122751249,0.0428042129655784,0.00742356941370961,0.084669801711623,0.285254250839438,0.0106046787316794,0.00730016809845372,0.00452557421275331,0.0275977900288776,0.120454722416881,0.0338677527315681,0.0234732824427481,0.0211208699289,0.00451209412571037
DEL,T,1,1,0.0982663566185846,8.4375262420618e-06,0.000101085655009804,0.0651526565599527,0.00666020290377175,0.00214228246107147,0.0971733945321895,0.0343147931682974,0.0116946325941979,0.000274695970424163,0.000227301481105028,0.043616142733512,0.00290165437700303,0.00203249736051532,0.123579549570021,1.19328894298465e-05,0.000311453710192323,4.92174426616793e-05,5.4525627044711e-05,0.000104558762024258,0.182168660936117
DEL,T,1,2,0.0907092088016667,0.0057480372558107,0.0232525940906139,0.0878196918991834,0.0193047543578606,0.0124224390168838,0.0775799595049836,0.128551891167599,0.00968596883237123,0.00518247839266469,0.0107089018550803,0.0403357387719216,0.0221895958330259,0.00944314091772466,0.128485083278595,0.0192477506503425,0.00969399672973604,0.0235136332316173,0.0733642311886587,0.0770598076118779,0.0402090413227861
DEL,T,1,3,0.0800633916251429,0.0126428867376095,0.10001034250307,0.158127564743733,0.294007273949766,0.0109976015700277,0.0616349427971967,0.0284287189312649,0.0154577429000676,0.00647426294968533,0.110972442911946,0.02640756440944,0.041029888900118,0.0260445894016373,0.00433311106944525,0.0708724135462161,0.300085649770303,0.0835281523772025,0.0595965103598691,0.0359682141363446,0.0502327440957249
DEL,T,1,4,0.0496602193217661,0.0350604067041106,0.482303115371237,0.0512009309501716,0.0497065748989656,0.0145879970706777,0.0448236209079536,0.0481851246934004,0.0169501632981106,0.0231283304656739,0.00405068394157923,0.025564024521254,0.0212862389041171,0.0291517116791391,0.0706646021372929,0.261798644423761,0.265436424511407,0.35309208583522,0.214830970556161,0.109263906315349,0.068738041522689
DEL,T,1,5+,0.0225253590283691,0.351074544237606,0.018565470199124,0.0317786604107126,0.0389736042709689,0.018376699074772,0.0168913721563105,0.0253286764679378,0.00711375058307681,0.0182537256086924,0.0113929506519907,0.0192295321778304,0.00436302176302784,0.0099026183939128,0.0271079163608986,0.416541371327653,0.00564509849723585,0.228405847032188,0.0116957470010905,0.00710999581764952,0.04223662792358
INS,C,1,0,0.000514966150213147,5.08032306319053e-06,6.08237680570561e-05,0.000421956871424455,0.000859372264703304,0.000991261870793937,0.000319369082501222,0.00115084772735437,0.00322307411392763,0.000151261157740058,0.000154393458863793,0.00160243931213606,0.00392901362971542,0.00414910671803775,0.000836076450499514,1.78993341447698e-05,0.00101222455812505,5.53696229943892e-05,0.000190839694656489,0.000209117524048515,0.000799611617214496
INS,C,1,1,0.00111138024236946,7.15120939224779e-05,0.00123057317782641,0.000903891587920304,0.000738730837712899,0.00218032761595334,0.00127664434423638,0.00080054288756673,0.00227078141870412,0.000527273564008977,0.00147102656639669,0.000683374086631729,0.000828335523007701,0.00401728940929525,0.000950726538018507,0.000578745137347557,0.0022191076851203,0.000953587951570036,0.000926935659760087,0.00250941028858218,0.0012279749835794
INS,C,1,2,0.00315488624681845,1.23970357634763e-05,7.59681475530438e-05,0.00271704832903708,0.00242820839926694,0.000590705158826343,0.00311317729314187,0.000896167201017927,0.00126391773684571,0.000341407848955745,0.000527510984451292,0.00149279735692571,0.000578470840543552,0.000769562002468122,0.00072059856451468,5.07147800768478e-05,0.000389317137740403,7.3826163992519e-05,0.000572519083969466,0.00146382266833961,0.000713938943941514
INS,C,1,3,0.000359460901500498,0.000707005515939816,0.00160727422715954,0.000972674926645512,0.00202769876500633,0.000490759299710876,0.000306936567892308,0.000595870396904291,0.00548293523457959,0.00494595445968908,0.00251103806013196,0.000895886759913547,0.000733473745297987,0.00124284891100072,0.00138573463181801,0.00121118827712942,0.00389317137740403,0.0011196968205532,0.00586150490730643,0.00826014219991635,0.000799611617214496
