Signature,NumberOfPostSamples
low confidence hdp.1,3000
low confidence hdp.2,2600
low confidence hdp.3,2286
low confidence hdp.4,2200
low confidence hdp.5,1746
low confidence hdp.6,1600
low confidence hdp.7,1200
low confidence hdp.8,1000
low confidence hdp.9,1000
low confidence hdp.10,693
low confidence hdp.11,272
low confidence hdp.12,235
low confidence hdp.13,200
low confidence hdp.14,199
low confidence hdp.15,192
low confidence hdp.16,19
low confidence hdp.17,14
low confidence hdp.18,13
low confidence hdp.19,13
low confidence hdp.20,7
low confidence hdp.21,2
