# Original paramaters
"","ID1","ID2","ID3","ID5","ID6","ID8"
"prob",0.966666666666667,0.633333333333333,0.6,0.666666666666667,0.0333333333333333,0.5
"size",0.374245489146633,0.202002665675857,1.72737975005677,5.57086608916015,0.974239208532532,2.13278301993815
"mu",1184.40495302253,5594.29974422699,138.613773561329,164.257224492249,304,90.4913898828703
# Parameters derived from synthetic exposures
"","ID1","ID2","ID3","ID5","ID6","ID8"
"prob",0.966666666666667,0.566666666666667,0.633333333333333,0.633333333333333,0.0333333333333333,0.533333333333333
"size",0.469326505516904,0.220732369592239,1.76560595846442,4.57784469192519,0.974239208532532,5.1428104844394
"mu",919.087897255108,4462.13248131283,146.994377689246,170.522489770382,303,65.9266082691825
# Difference between original parameters and parameters derived from synthetic exposures
"","ID1","ID2","ID3","ID5","ID6","ID8"
"prob",0,0.0666666666666667,-0.0333333333333333,0.0333333333333333,0,-0.0333333333333333
"size",-0.0950810163702707,-0.018729703916382,-0.0382262084076546,0.993021397234967,0,-3.01002746450125
"mu",265.317055767425,1132.16726291415,-8.38060412791611,-6.26526527813323,1,24.5647816136879
