# Original paramaters
"","ID1","ID2","ID3","ID4","ID5","ID6","ID8","ID9","ID12"
"prob",0.995575221238938,0.787610619469027,0.300884955752212,0.00442477876106195,0.911504424778761,0.0973451327433628,0.606194690265487,0.252212389380531,0.247787610619469
"size",1.45588799596206,1.06907191499699,2.58973786140611,0.993931239954498,2.62277373389716,0.610271079201479,0.856452660452856,2.86374412832176,4.05081759865923
"mu",151.429660876625,54.8899822474748,55.1958807882903,153,148.677545484299,362.821945257624,86.6809468808804,41.0160671473118,54.0687811122511
# Parameters derived from synthetic exposures
"","ID1","ID2","ID3","ID4","ID5","ID6","ID8","ID9","ID12"
"prob",1,0.769911504424779,0.287610619469027,NA,0.898230088495575,0.123893805309735,0.623893805309734,0.300884955752212,0.225663716814159
"size",1.65868902430166,1.06480227927699,2.29618649072061,NA,2.11792172449188,0.708518886895225,1.11402273370094,2.8082991423831,3.82514378953881
"mu",156.436451406977,54.4283512648257,61.589880988569,NA,146.56079800698,400.4447698011,89.1725999726032,40.3165813364987,56.4645187912546
# Some signatures not represented in the synthetic data:
# ID4 
# Difference between original parameters and parameters derived from synthetic exposures
"","ID1","ID2","ID3","ID4","ID5","ID6","ID8","ID9","ID12"
"prob",-0.00442477876106195,0.0176991150442478,0.0132743362831859,NA,0.0132743362831859,-0.0265486725663717,-0.0176991150442477,-0.0486725663716814,0.0221238938053097
"size",-0.202801028339601,0.00426963571999606,0.293551370685499,NA,0.504852009405281,-0.0982478076937455,-0.257570073248085,0.0554449859386659,0.225673809120416
"mu",-5.00679053035174,0.46163098264914,-6.39400020027863,NA,2.11674747731945,-37.6228245434755,-2.49165309172284,0.699485810813123,-2.39573767900355
