Type,Subtype,Indel_size,Repeat_MH_size,W.1 (False Positive) (ID5 0.723),W.2 (ID1 1),W.3 (False Positive) (ID5 0.489),W.4 (ID4 0.997),W.5 (False Positive) (ID14 0.887),W.6 (False Positive) (ID5 0.391),W.7 (ID8 0.982),W.8 (False Positive) (ID9 0.898),W.9 (False Positive) (ID5 0.333),W.10 (ID6 0.99),W.11 (ID13 0.978),W.12 (ID3 0.975),W.13 (False Positive) (ID5 0.254),W.14 (ID2 0.999),W.15 (ID11 0.998)
DEL,C,1,0,1.33314996313886e-40,0,5.45356890427116e-175,1.78902928445705e-87,0.000792932191119077,1.82092688260083e-142,1.71150725950167e-18,0.607532154342956,0.0265232408610101,0.0220401818896061,2.12255000831428e-57,0.0849507569642046,6.67467942439391e-122,0.00316074890904052,0
DEL,C,1,1,0.0196672435534082,0.000502370989922022,2.93155704771481e-218,2.78851413343578e-301,0,1.07817946293144e-48,0.0158934543246612,0.144187382696701,0,0.000586911606804016,2.05255724570525e-127,0.250738571578043,1.18747253762181e-307,0,0
DEL,C,1,2,0.0233430822958388,0,0,0,0,0,0,0,0,0.00532625710343055,5.50988339991743e-19,0.235252120711767,0,0,0
DEL,C,1,3,0.0190782557383873,0.00162192484418793,3.43161152927361e-108,0.00025312442828055,0,1.34553891899669e-173,0.00477726866783053,0.0132975754512698,0.0187311915613768,0,0.00325144645273507,0.0744365708075135,1.08033257375515e-141,0.00161554281319763,0
DEL,C,1,4,0,0.000351895961100799,0,0.000877540619560257,0.00210836610825888,1.75433353793943e-202,0,0.0163588234391167,0.0252116311544932,0.00199718183551858,0,0.0493905968659209,0.00218539038484736,0.00266454458992556,0
DEL,C,1,5+,8.55181422914934e-192,0.00131509958048766,0,0.0017217086625322,0.0047452935420863,6.01986039106005e-278,0,1.11887383826344e-153,0.111347042612049,0.000748406539791809,0,0.0268576353504624,2.84976575772166e-163,0.0103003417046839,0
DEL,T,1,0,0.195831516167226,4.66635654275091e-54,2.69991024422001e-239,5.02591306331932e-237,0.0237131798819554,0.0224438409271669,0.0294850723497189,0.156344482081657,0.053897941299092,5.09094874822755e-199,0.0403142092940413,0.026205795966731,0.0170402514154749,0.00579069542254911,0
DEL,T,1,1,0.00360199993951904,0,0,0,0,0,0,0,0,0,0.767952128907294,3.63422901998995e-46,0,0,0
DEL,T,1,2,0.113864802871112,8.02683310826588e-118,0.971074332001,2.89777935528397e-209,1.88459361856052e-130,2.89236102100471e-27,9.77890484225104e-102,8.62484900356899e-50,0.0181288747689948,0.000850463126009266,8.30041309461763e-07,0.0131081303854326,0.0400464001441368,0.0030999631504705,0
DEL,T,1,3,4.48509796291941e-10,2.77961183486766e-22,4.09851415324176e-145,2.33292216611227e-204,2.04292939283048e-250,0.961338948678442,1.54029792350357e-95,2.63697529873662e-55,0.104651626414402,3.46638742909528e-32,8.78822720682212e-53,3.51412104441567e-26,4.74261595854049e-11,0.00883205822082773,0
