Signature,NumberOfPostSamples
low confidence hdp.1,3239
low confidence hdp.2,1999
low confidence hdp.3,1800
low confidence hdp.4,1308
low confidence hdp.5,1000
low confidence hdp.6,600
low confidence hdp.7,200
low confidence hdp.8,191
low confidence hdp.9,177
low confidence hdp.10,163
low confidence hdp.11,20
low confidence hdp.12,13
