Type,Subtype,Indel_size,Repeat_MH_size,signeR.1,signeR.2,signeR.3,signeR.4,signeR.5,signeR.6,signeR.7,signeR.8,signeR.9,signeR.10,signeR.11
DEL,C,1,0,0.00485097267330632,0.00344088901465407,2.83669152722711e-07,0.0295340959655559,0.00379671627566703,0.0348481303408022,0.118943303441319,0.338978230629667,0.00957879106890855,0.00921725023920527,0.000167892689411962
DEL,C,1,1,9.88182898843351e-06,0.000266410227774613,0.000612873939820599,0.0280942519384058,3.54521357409637e-06,0.0115317172767874,0.205414074756554,0.104970631690363,0.000905080700233498,0.00185262075305894,6.16304636349779e-05
DEL,C,1,2,4.66109361694444e-07,4.83967320855594e-07,1.3985128326085e-07,0.0219157256922312,1.0109848839445e-06,0.00560254207728966,0.171728555392029,3.74114518033726e-05,0.000370389738694565,0.000345086206000449,3.42688392311675e-05
DEL,C,1,3,0.00246211097381933,0.00228678373465313,0.00193327454141596,0.0128535828714984,0.00253804946909754,0.00211062312022366,0.0634006349102157,0.0119340136748114,0.000370771854605174,0.000503304297583029,7.82221418987439e-05
DEL,C,1,4,0.00387028881046779,0.00294455838568664,0.000509493280875921,0.00277644256747542,0.00368683382812068,0.00196218382612519,0.0421965992205099,0.0125332643294868,0.00226356147528616,0.000878335999000758,6.5015234713968e-05
DEL,C,1,5+,0.0146015785011977,0.0111316808328122,0.00333026457937783,0.00229869391822746,0.0144888586985721,0.00103349321028104,0.0215970938963191,9.77232763844582e-06,0.00321380711903097,0.00197672037628489,9.44738996264884e-05
DEL,T,1,0,0.00786106122423399,0.00581866794590669,0.00131877354260892,0.0968986168660311,0.0081889775484537,0.0128878318778731,0.041440866785805,0.115883635333208,0.0167922045760333,0.00544437801356875,0.000352655654409102
DEL,T,1,1,5.83213227486038e-07,5.02971781465831e-07,9.51703565341006e-08,0.133735121920944,1.18043050570436e-06,0.00132268055724439,0.00809455422381109,0.0393684292217172,0.000145136620503697,0.0139924451661027,4.0575614487083e-05
DEL,T,1,2,0.0071033710699307,0.00533591920423505,0.000598776843480342,0.0997663514691357,0.00619788086899851,0.00961078173596491,0.0195741793977959,0.0886259789104347,0.0112162252764196,6.90236158491802e-05,6.84411498835973e-05
DEL,T,1,3,0.0202919415198673,0.0149921414921878,0.00176637648754081,0.0807714300344068,0.0189328341788304,0.0171201639021272,0.0208124476279894,0.113578002943457,0.018539512528494,7.70054329970691e-05,0.000104153507571151
