Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3
DEL,C,1,0,0.00217835423449129,0.0174612878313147,0.0207350050036552
DEL,C,1,1,6.84918130686079e-05,0.0210417395511817,0.021510591267222
DEL,C,1,2,1.47668837642186e-05,0.0190955700773015,0.0202492285538766
DEL,C,1,3,0.00220881079590838,0.0106624483582427,0.009923324603552
DEL,C,1,4,0.00218961537409698,0.0023206638223215,0.00221753794931364
DEL,C,1,5+,0.00844068880372561,0.0029076644187367,0.00728112655974853
DEL,T,1,0,0.00428391464752528,0.0737750452342007,0.0754128508374518
DEL,T,1,1,3.38663175588314e-05,0.0762949055365733,0.0758446083151364
DEL,T,1,2,0.00378400905610288,0.0827239786549395,0.0837672594558831
DEL,T,1,3,0.010382419487564,0.0652114019200279,0.0695094052156303
DEL,T,1,4,0.0236358754619358,0.03918476890371,0.0499151074110087
DEL,T,1,5+,0.368637578289354,0.022446414075136,0.238413719083996
INS,C,1,0,5.24225464402678e-06,2.67385116179505e-05,1.30118691904961e-05
INS,C,1,1,1.02336315169079e-05,0.000162417447819774,1.34061682568748e-05
INS,C,1,2,7.37580647168313e-06,0.00224032413883564,1.10403738586028e-05
INS,C,1,3,0.000173031489532097,3.07836878774277e-05,4.33728973016538e-06
INS,C,1,4,0.00227675940406381,0.000116777306979151,4.92873832973338e-05
INS,C,1,5+,0.0177008076728423,0.00748132588607763,0.00441733244064025
INS,T,1,0,0.00185318828299061,0.0052987825897207,0.00546971664880492
INS,T,1,1,2.17194703437081e-05,0.00966859200331038,0.00914970983531705
INS,T,1,2,2.93526992240451e-05,0.0215254743500676,0.022186419866995
INS,T,1,3,0.00285876965457176,0.0146529733553396,0.0139633128376679
INS,T,1,4,0.0108757019058281,0.0128143321153542,0.0097458900236816
INS,T,1,5+,0.498280677914147,0.258258650215,0.0504004895617208
DEL,repeats,2,0,7.11096680718672e-05,0.0203484211700337,0.0195095235053502
DEL,repeats,2,1,0.00233631124229629,0.0179242846357962,0.0185206214468725
DEL,repeats,2,2,0.00101797909656742,0.00367933610525847,0.00159848841509913
DEL,repeats,2,3,3.57446285236699e-05,1.33873608178092e-05,2.24750467835842e-05
DEL,repeats,2,4,9.09704613632613e-06,2.25122852701336e-05,4.33728973016538e-06
DEL,repeats,2,5+,6.08214979090581e-06,0.0157172995775134,0.0160101192912395
DEL,repeats,3,0,2.50376015603393e-05,0.0123417500019101,0.0120068008702969
DEL,repeats,3,1,0.00510142277103478,0.00556080345042569,0.00665931693206937
DEL,repeats,3,2,0.00153803998996908,5.00681087154466e-05,4.21900001025178e-05
DEL,repeats,3,3,6.74315817922879e-06,1.37598067138225e-06,1.18289719913601e-06
DEL,repeats,3,4,2.84037267853636e-06,0.00404080002019898,0.000712104113879879
DEL,repeats,3,5+,4.12312163013342e-06,0.00616169834790605,0.00609822936061252
DEL,repeats,4,0,2.17063810686918e-05,0.00793574091637178,0.00913945805959121
DEL,repeats,4,1,0.00141305704747597,0.00240349165130711,0.000513771683491408
DEL,repeats,4,2,4.2060203719033e-06,7.19027493692228e-07,1.26175701241175e-05
DEL,repeats,4,3,3.78498202554576e-06,0.00263040431345318,1.57719626551468e-05
DEL,repeats,4,4,2.31898322372054e-06,0.00315614790569353,1.93206542525549e-05
DEL,repeats,4,5+,2.88400359525735e-06,4.65816012999893e-05,7.09738319481607e-06
DEL,repeats,5+,0,2.94399610574871e-05,0.0133153908212644,0.0138379257345594
DEL,repeats,5+,1,0.00123945399293483,4.29347352348597e-06,6.38764487533446e-05
DEL,repeats,5+,2,3.57337207944897e-06,1.17941200404193e-06,1.18289719913601e-06
DEL,repeats,5+,3,1.36346614753089e-06,1.70704369006069e-07,0
DEL,repeats,5+,4,1.29583822661336e-06,5.17285966685056e-09,0
DEL,repeats,5+,5+,1.51617435605435e-06,6.82817476024274e-07,1.57719626551468e-06
INS,repeats,2,0,2.52361222314198e-05,0.00487100261385116,0.00451787870256681
INS,repeats,2,1,1.33423343332783e-05,0.0133952649473802,0.0136522108742951
INS,repeats,2,2,4.97130665118944e-05,0.00546879896839108,0.00537626777007317
INS,repeats,2,3,1.29496560827894e-05,0.00016398482429883,5.12588786292272e-06
INS,repeats,2,4,0.00237802021713571,5.33890846215646e-05,3.5881215040459e-05
INS,repeats,2,5+,0.0161325859962314,0.00587590302417222,0.00589477104236113
INS,repeats,3,0,6.04724505752902e-06,0.00290188633448883,2.01092523853122e-05
