MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
5:Ins:R:0	0.00000000	0.00000004	0.00000001	0.00353413	0.00001264	0.00876593	0.00031452	0.00000003	0.00783678	0.00000960	0.00101579	0.00358626
5:Ins:R:1	0.00001014	0.00112814	0.00212947	0.00376018	0.01023263	0.00634605	0.00009317	0.00131215	0.01303712	0.00239405	0.00383479	0.03411166
5:Ins:R:2	0.00000040	0.00012919	0.00053613	0.00045735	0.00003374	0.00120772	0.00005863	0.00006709	0.00005672	0.00018468	0.00086419	0.00089393
5:Ins:R:3	0.00002896	0.00020094	0.00060574	0.00032058	0.00002722	0.00000221	0.00002477	0.00007602	0.00001586	0.00004003	0.00011219	0.00002323
5:Ins:R:4	0.00000025	0.00021861	0.00028977	0.00023166	0.00003094	0.00000808	0.00000020	0.00000444	0.00005982	0.00010033	0.00017743	0.00043769
5:Ins:R:5	0.00002008	0.00002422	0.00095488	0.00089482	0.00031740	0.00004314	0.00003536	0.00006067	0.00006441	0.00013315	0.00016843	0.00027406
2:Del:M:1	0.00000540	0.00001307	0.00005295	0.02861997	0.00013639	0.00000000	0.00706807	0.00037306	0.01401482	0.20041323	0.00007987	0.00492647
3:Del:M:1	0.00000000	0.00000508	0.00000107	0.01402159	0.01189260	0.00053760	0.00070449	0.00266269	0.00970696	0.00742364	0.00014990	0.00108795
3:Del:M:2	0.00147455	0.00049425	0.01108659	0.01065262	0.00270775	0.00423629	0.00020029	0.00034639	0.00204570	0.05651557	0.00168383	0.00459210
4:Del:M:1	0.00007921	0.00000109	0.00016057	0.01253014	0.00641153	0.00247752	0.00000856	0.00197170	0.00370060	0.01118122	0.00000010	0.00022566
4:Del:M:2	0.00027405	0.00000001	0.00123997	0.00847883	0.00024361	0.00904349	0.00004600	0.00198577	0.00086033	0.03094997	0.00009740	0.00150387
4:Del:M:3	0.00043527	0.00000142	0.00127604	0.00223391	0.00016890	0.00506599	0.00001027	0.00054218	0.00063699	0.03728969	0.00052600	0.00338721
5:Del:M:1	0.00041814	0.00000000	0.00001236	0.00056394	0.36986324	0.05916789	0.00006379	0.00000003	0.00156186	0.00001298	0.00000001	0.00022348
5:Del:M:2	0.00000001	0.00000004	0.00000004	0.00015581	0.10626580	0.30574098	0.00179305	0.00000014	0.00033772	0.00000011	0.00000575	0.00087816
5:Del:M:3	0.00000000	0.00000001	0.00000000	0.00202797	0.02377719	0.23545446	0.00095856	0.00000009	0.00120230	0.00007615	0.00000011	0.00007658
5:Del:M:4	0.00029241	0.00000000	0.00066399	0.00292334	0.00151910	0.13159433	0.00040204	0.00001891	0.00000000	0.00299940	0.00002061	0.00004767
5:Del:M:5	0.00112881	0.00011796	0.00986958	0.00374929	0.00014337	0.10474805	0.00000000	0.00000000	0.00339181	0.00021055	0.00046466	0.00036767
