Signature,NumberOfPostSamples
low confidence hdp.1,3201
low confidence hdp.2,3200
low confidence hdp.3,3200
low confidence hdp.4,2800
low confidence hdp.5,2589
low confidence hdp.6,1800
low confidence hdp.7,1389
low confidence hdp.8,1200
low confidence hdp.9,1196
low confidence hdp.10,1185
low confidence hdp.11,813
low confidence hdp.12,802
low confidence hdp.13,800
low confidence hdp.14,799
low confidence hdp.15,734
low confidence hdp.16,600
low confidence hdp.17,591
low confidence hdp.18,396
low confidence hdp.19,20
low confidence hdp.20,6
low confidence hdp.21,4
