"ex.sig","gt.sig","sim"
"SBS96A","SBS7a",0.962134294522751
"SBS96B","SBS2",0.999959241441182
"SBS96C","SBS7b",0.993195338284485
"SBS96E","SBS4",0.992233204138573
"SBS96F","SBS40",0.91845404739216
"SBS96G","SBS3",0.924044531880892
"SBS96H","SBS1",0.999884326898645
"SBS96I","SBS12",0.989819311698311
"SBS96J","SBS44",0.994363306932339
"SBS96K","SBS17b",0.999962934544464
"SBS96L","SBS18",0.980818620782957
"SBS96M","SBS13",0.99997545504932
"SBS96N","SBS7c",0.993519409612531
"SBS96O","SBS17a",0.999917132995564
"SBS96P","SBS7d",0.985889512893022
"SBS96Q","SBS9",0.907020805324559
"SBS96R","SBS22",0.970972981380866
