MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
2:Ins:R:1	0.00026767	0.00000677	0.01980347	0.00179874	0.00351138	0.00022162	0.00162951	0.00015885	0.00003253
2:Ins:R:2	0.00103929	0.00029811	0.00757865	0.00045218	0.00127440	0.00058923	0.00144906	0.00013182	0.00138840
2:Ins:R:3	0.00039058	0.00049388	0.00110204	0.00029300	0.00097890	0.00049932	0.00030944	0.00022502	0.00074540
2:Ins:R:4	0.00186648	0.00276309	0.00003621	0.00098379	0.00010386	0.00006110	0.00100711	0.00004393	0.00255390
2:Ins:R:5	0.01405767	0.01519642	0.00046927	0.01076872	0.00000309	0.00053524	0.00756292	0.00014732	0.00175316
3:Ins:R:0	0.00004877	0.00000032	0.00434532	0.00064907	0.00014452	0.00097426	0.00034235	0.00000000	0.00663618
3:Ins:R:1	0.00126785	0.00030540	0.00647172	0.00112585	0.00020955	0.00020116	0.00051949	0.00067850	0.00246523
3:Ins:R:2	0.00023007	0.00001255	0.00143001	0.00019825	0.00011630	0.00059556	0.00012595	0.00035362	0.00014299
3:Ins:R:3	0.00000053	0.00010337	0.00001717	0.00003655	0.00000000	0.00019726	0.00000792	0.00009785	0.00026445
3:Ins:R:4	0.00011307	0.00008810	0.00000134	0.00012774	0.00001313	0.00019578	0.00004382	0.00008103	0.00044119
3:Ins:R:5	0.00189934	0.00091888	0.00000812	0.00022549	0.00004967	0.00003645	0.00020163	0.00000291	0.00272799
4:Ins:R:0	0.00001133	0.00000009	0.00279885	0.00065667	0.00002727	0.00179304	0.00014297	0.00004956	0.00526918
4:Ins:R:1	0.00115820	0.00079988	0.00403073	0.00160435	0.00020753	0.00049532	0.00100897	0.00113817	0.00177008
4:Ins:R:2	0.00001337	0.00005344	0.00022747	0.00002584	0.00014193	0.00057400	0.00004047	0.00000480	0.00008345
4:Ins:R:3	0.00009590	0.00015927	0.00000000	0.00004645	0.00001895	0.00028280	0.00004806	0.00000259	0.00094069
4:Ins:R:4	0.00028793	0.00028804	0.00002823	0.00009015	0.00000000	0.00011464	0.00001296	0.00004648	0.00200701
4:Ins:R:5	0.00215441	0.00089504	0.00058368	0.00145876	0.00002645	0.00007940	0.00058973	0.00000075	0.00021480
5:Ins:R:0	0.00000000	0.00000002	0.00527294	0.00021870	0.00005303	0.00846136	0.00027349	0.00007147	0.00334106
5:Ins:R:1	0.00012710	0.00129404	0.00654793	0.00972265	0.00039811	0.00511444	0.00165715	0.00186108	0.02827157
5:Ins:R:2	0.00000259	0.00027058	0.00024268	0.00002951	0.00002234	0.00161197	0.00001785	0.00020546	0.00053634
5:Ins:R:3	0.00008997	0.00025351	0.00014707	0.00025013	0.00001818	0.00000961	0.00015646	0.00000000	0.00012964
5:Ins:R:4	0.00000438	0.00029067	0.00011397	0.00006607	0.00003781	0.00001630	0.00007695	0.00006403	0.00019536
5:Ins:R:5	0.00009637	0.00016969	0.00043323	0.00016167	0.00000632	0.00008650	0.00012182	0.00045802	0.00000178
2:Del:M:1	0.00011094	0.00041216	0.02179308	0.00138793	0.00690482	0.00003190	0.00121293	0.18449875	0.00239567
3:Del:M:1	0.00000180	0.00002040	0.01445697	0.00997752	0.00024973	0.00135957	0.00180897	0.00576490	0.00149971
3:Del:M:2	0.00292314	0.00110790	0.00625139	0.00432664	0.00030644	0.00377749	0.00120351	0.04838620	0.00392303
4:Del:M:1	0.00012460	0.00007618	0.00905845	0.00631109	0.00016207	0.00252625	0.00139117	0.00906962	0.00005311
4:Del:M:2	0.00054278	0.00007439	0.00445968	0.00061628	0.00022247	0.00760137	0.00277489	0.03027559	0.00092762
4:Del:M:3	0.00068000	0.00000591	0.00172599	0.00003735	0.00000000	0.00483265	0.00115074	0.04305543	0.00212727
5:Del:M:1	0.00049341	0.00000000	0.00612504	0.28432222	0.00097214	0.08427103	0.00000996	0.00012912	0.00127087
5:Del:M:2	0.00000288	0.00000000	0.00164811	0.09460942	0.00136401	0.26795906	0.00009329	0.00001223	0.00140681
5:Del:M:3	0.00000000	0.00000000	0.00276896	0.01885914	0.00116678	0.22035515	0.00023509	0.00066321	0.00048185
5:Del:M:4	0.00044525	0.00000000	0.00020709	0.00085759	0.00035359	0.12415613	0.00010385	0.00263495	0.00000116
5:Del:M:5	0.00230855	0.00040960	0.00069573	0.00083483	0.00000000	0.10289918	0.00017799	0.00116734	0.00097699
