Type,Subtype,Indel_size,Repeat_MH_size,hdp.0 (False Positive) (ID1 0.721),hdp.1 (ID2 1),hdp.2 (ID1 0.999),hdp.3 (ID5 1),hdp.4 (ID8 1),hdp.5 (ID3 1),hdp.6 (ID6 1),hdp.7 (ID9 1),hdp.8 (ID14 0.982),hdp.9 (ID13 1),hdp.10 (ID4 1),hdp.11 (ID11 0.999),hdp.12 (ID12 0.998),hdp.13 (ID10 0.997)
DEL,C,1,0,0.0111639630157063,0.00474970925364117,0.000289653426366396,0.0225250150684611,0.0408705823140181,0.125225813901464,0.0305849651880663,0.334376174378011,0.0135170179547761,0.0643958037717294,0.00700803931678269,0.00157792908912953,0.0480721226918868,0.0232821876875836
DEL,C,1,1,0.010305262825737,9.8162731736775e-05,0.000618771945876649,0.0284769658467492,0.0244937270511854,0.207539277977933,0.0055241541217903,0.0998995611912974,0.00220642900655888,0.017463239287145,0.00239623633278218,0.000272033563238995,0.0137333664725868,0.0269044570111952
DEL,C,1,2,0.00885176864279263,5.56570819018228e-05,8.93080158424275e-06,0.0263598068995093,0.00327804793529845,0.174700736295935,0.00812022053240282,0.00183663508804231,0.000575607393749476,0.00544447717447372,0.00187341050582494,0.000109381945038911,0.00269261643679269,0.0238644685171332
DEL,C,1,3,0.00751703746026406,0.00248875547292359,0.00190448438740893,0.0140608658378854,0.00543430396084474,0.0636875072829252,0.00104962677125426,0.0108263327696383,0.000501150415827492,0.00562708738553947,0.00120934860503657,0.000402337940015723,0.0033558566305599,0.0169872915974519
DEL,C,1,4,0.0055577465326591,0.00380476985845837,0.00072798544373128,0.00277594120367174,0.00126541534672483,0.0437751916739091,0.00249453300068002,0.0128971111100446,0.0022665123790198,0.00436575901837387,0.00100215864420519,0.00033440946370039,0.00321425504736844,0.00289965424782212
DEL,C,1,5+,0.00769225417634632,0.014342934399587,0.00370490391197292,0.00256270877251626,0.000871213046272099,0.0221975123912496,0.0013334196338885,0.000281639554718345,0.00231519781058469,0.000932681107251808,0.0023102948193836,0.000638940434725788,0.0290345609052795,0.00171985129566056
DEL,T,1,0,0.0191833846392294,0.00794765938591267,0.00149086496943189,0.102563378713986,0.0347401631213543,0.037753346453013,0.00407208454024773,0.105591039466716,0.0202990287887527,0.0532360666783182,0.00584928523225724,0.00123141304222553,0.0402362788162674,0.0250294377648691
DEL,T,1,1,0.0163123350135574,0.00021837290390974,3.00143642084555e-06,0.106772494114815,0.0105654349723007,0.0135891423777185,0.000410587673130764,0.0445230902247096,0.000790483236138052,0.495674353567469,0.00135118896394227,0.000139540407064025,0.00397151778742312,0.00172513147841528
DEL,T,1,2,0.0203605316048046,0.00712605995523221,0.00107683955988531,0.115434736322558,0.00909104512003041,0.0167651486496667,0.0115335638328776,0.0863344004763581,0.0120570199724262,0.0241375568451829,0.00163091517619307,0.000746957896001633,0.00901253663079102,0.00383329210809478
DEL,T,1,3,0.0204706148186421,0.0199618509603565,0.00290941680040489,0.0899752368404464,0.0101926519242494,0.0203340676596611,0.0220973852236246,0.11327531230782,0.0190627853264772,0.0623763552306686,0.000751489256033831,0.00103406083637612,0.0193720425115539,0.00402440863626311
DEL,T,1,4,0.0197455998534643,0.0461284631664729,0.00582565257440174,0.0528879132708757,0.00156583014005119,0.0159737217559814,0.0175688268696232,0.0943324403157563,0.0144744493946284,0.0227522939923921,0.00111007861653702,0.00213006018062737,0.0383491113355667,0.00506928231846405
