# Original paramaters
"","SBS1","SBS2","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS13","SBS17a","SBS17b","SBS38","SBS40"
"prob",0.660377358490566,0.141509433962264,0.858490566037736,0.830188679245283,0.830188679245283,0.773584905660377,0.830188679245283,0.122641509433962,0.00943396226415094,0.00943396226415094,0.141509433962264,0.245283018867925
"size",1.03511550165299,0.987672393050735,1.03529072294525,0.792453107823627,0.896753661865613,0.651061835240793,1.17125267958058,2.7485598659148,0.549475670777559,0.560829752773609,1.01568732607335,2.65405283523322
"mu",392.854652005888,441.773481165246,4997.89321269182,95299.1918632366,25757.841137218,5994.67675449589,3893.77903750308,333.321999682635,922,5155,1169.06223515702,4389.34630106811
# Parameters derived from synthetic exposures
"","SBS1","SBS2","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS13","SBS17a","SBS17b","SBS38","SBS40"
"prob",0.616666666666667,0.15,0.883333333333333,0.866666666666667,0.816666666666667,0.766666666666667,0.833333333333333,0.233333333333333,NA,0.0166666666666667,0.133333333333333,0.25
"size",0.815974226957282,0.961924471460889,0.929413072317498,0.753702903056715,0.777378321611161,0.653105517435301,1.15523171586732,2.4577627345591,NA,0.560829752773609,0.884628285526437,2.09975736388028
"mu",469.071913578683,511.782732118621,4454.13620171298,99061.1924129101,31765.9696885821,8521.36222195744,5268.21668108905,323.082089672812,NA,7065,1174.41178421009,4460.93685192628
# Some signatures not represented in the synthetic data:
# SBS17a 
# Difference between original parameters and parameters derived from synthetic exposures
"","SBS1","SBS2","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS13","SBS17a","SBS17b","SBS38","SBS40"
"prob",0.0437106918238993,-0.00849056603773585,-0.0248427672955974,-0.0364779874213836,0.0135220125786164,0.00691823899371069,-0.00314465408805031,-0.110691823899371,NA,-0.00723270440251572,0.00817610062893082,-0.00471698113207547
"size",0.219141274695711,0.0257479215898462,0.105877650627756,0.0387502047669122,0.119375340254452,-0.00204368219450812,0.0160209637132602,0.290797131355702,NA,0,0.131059040546918,0.55429547135294
"mu",-76.217261572795,-70.009250953375,543.757010978846,-3762.0005496735,-6008.12855136407,-2526.68546746156,-1374.43764358597,10.2399100098226,NA,-1910,-5.34954905307563,-71.5905508581654
