# Original paramaters
"","SBS1","SBS2","SBS5","SBS13","SBS22","SBS29","SBS40","SBS41"
"prob",1,0.0416666666666667,0.9375,0.0347222222222222,0.0486111111111111,0.0208333333333333,0.979166666666667,0.125
"size",2.43732839144881,0.81356409194979,1.33457987156045,1.61669537157408,1.17704649976202,2.13714717292042,4.80242216626381,13.1655696535113
"mu",314.022650142154,198.701516907738,1084.22098200698,205.999260911363,11224.5349270571,657.255999600657,4358.01777583706,594.96939431029
# Parameters derived from synthetic exposures
"","SBS1","SBS2","SBS5","SBS13","SBS22","SBS29","SBS40","SBS41"
"prob",1,0.0166666666666667,0.916666666666667,0.0333333333333333,0.0166666666666667,0.0333333333333333,0.966666666666667,0.166666666666667
"size",2.08141985272114,0.618295567012882,0.998239636340813,177.212514814773,0.846195224411736,28.3655510837286,5.4185367690833,22.7628069328218
"mu",330.018154210828,217,1055.54760557619,118.00231025196,19319,733.523945146208,4325.30543374851,705.497161138511
# Difference between original parameters and parameters derived from synthetic exposures
"","SBS1","SBS2","SBS5","SBS13","SBS22","SBS29","SBS40","SBS41"
"prob",0,0.025,0.0208333333333334,0.00138888888888889,0.0319444444444444,-0.0125,0.0125,-0.0416666666666667
"size",0.355908538727674,0.195268524936907,0.336340235219637,-175.595819443199,0.330851275350288,-26.2284039108082,-0.616114602819487,-9.59723727931053
"mu",-15.9955040686745,-18.2984830922622,28.6733764307905,87.9969506594022,-8094.46507294293,-76.2679455455516,32.7123420885455,-110.527766828221
