"ex.sig","gt.sig","sim"
"hdp.1","SBS1",0.999103191864232
"hdp.2","SBS2",0.997562210400167
"hdp.3","SBS13",0.999673706338472
"hdp.4","SBS5",0.997797248201635
"hdp.5","SBS17b",0.997998634511502
"hdp.6","SBS17a",0.996648506945734
"hdp.7","SBS40",0.997675025775729
"hdp.8","SBS7c",0.998268073612661
"hdp.9","SBS7d",0.998869327602222
"hdp.12","SBS8",0.989319826295143
"hdp.13","SBS3",0.989604047936702
"hdp.14","SBS29",0.981644251459618
"hdp.15","SBS18",0.9957890552934
"hdp.16","SBS26",0.989046382944217
"hdp.17","SBS28",0.986429605401286
"hdp.18","SBS34",0.988827837950491
"hdp.19","SBS36",0.996570372431222
"hdp.20","SBS44",0.99554172474329
"hdp.21","SBS37",0.995747061152289
"hdp.22","SBS9",0.99499993390566
"hdp.23","SBS12",0.996740785385482
"hdp.24","SBS4",0.994646625184762
"hdp.25","SBS7b",0.978986115530343
"hdp.26","SBS22",0.990428326496394
"hdp.27","SBS41",0.990178838222957
"hdp.28","SBS16",0.972198566898408
