Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13
DEL,C,1,0,0,0.0321021432765906,7.30701550411393e-101,0,0.00347469259055799,0.00288104543942266,8.16682881195712e-193,0.00806928147832737,8.77318694213655e-113,0.0938695314188313,1.36343245758289e-52,0.473285406262395,0.0198506248091636
DEL,C,1,1,0.000570159458325034,0,0,0,1.21374526515433e-05,0,0,0.0169432311893634,0.00506036450523806,0.24859156192899,0,0.119191959717265,0.000754993669510127
DEL,C,1,2,0,0,0,0,0,0,0,0,0.00848322476224502,0.234352747264122,0,0,0.00523472422313622
DEL,C,1,3,0.00161649497663879,0.019068985416138,0.013642775625716,0,0.00171476653744496,0,3.97352751201695e-135,0.00515930897127555,0.00676195851601828,0.0736152870696164,0.000513842670969929,0.00979416770004152,0
DEL,C,1,4,0.000339940087694525,0.0259579828399307,0,0,0.00286119540073755,0.0019949326525643,0.000887214021534745,0,0,0.0464802922255053,0.00043484189423008,0.0132807936867793,0.00185139830421102
DEL,C,1,5+,0.0014016971309907,0.110708139952368,2.46612938513444e-301,0,0.0111611935419257,0.00424513924682168,0,0,0,0.0257473392658166,0.00142836933811111,0,0
DEL,T,1,0,2.36859071591214e-250,0.0466286608447348,0.205852822489252,0,0.00581386250905438,0.0216341806721031,0.0235704027042487,0.0350348974354287,0.0725020244361164,0.0277371512217295,0.0023315020160799,0.11065865221508,0
DEL,T,1,1,0,0,0,0,0,0,0,8.49425526740216e-18,0.384388149364771,1.46655733780474e-137,0,0.0315948601428777,0
DEL,T,1,2,0.000628906719957984,2.87500765562773e-38,0.275371282673534,0,0.00360968719274071,0.00855666745205948,0.0579177304396416,0.00247490401587651,0.0413150723940828,0.0063938389343343,0,0.0738115385867423,0.00942699815551898
DEL,T,1,3,0.000596842828900839,0.106654089019263,0.173993258947419,0,0.010835196919275,0.0154860646175462,0.115088329083693,0,0.059668432539698,0,0,0.118465867380831,0.0163514071825414
DEL,T,1,4,4.10203464264809e-88,3.07597866927406e-297,2.8018605774279e-255,0,0.0279519188682379,0,0.772952405771019,2.86771820074548e-269,8.82527133680565e-87,3.78537102947235e-103,3.98584429112494e-237,2.27879073213e-197,2.95209032919346e-125
