MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	0.00394537	0.00002049	0.00356917	0.04650331	0.10338439	0.03235254	0.30375563	0.00737943	0.01281434
1:Del:C:1	0.00000501	0.00050796	0.00839184	0.02390244	0.21475980	0.00353037	0.08862197	0.00016608	0.00311623
1:Del:C:2	0.00000000	0.00000000	0.01173791	0.00089483	0.18878408	0.00561877	0.00126311	0.00001245	0.00104950
1:Del:C:3	0.00246647	0.00195357	0.00908789	0.00506103	0.06791132	0.00044653	0.01001158	0.00017147	0.00092415
1:Del:C:4	0.00388054	0.00063900	0.00005764	0.00068002	0.04302647	0.00180177	0.01260814	0.00166347	0.00120540
1:Del:C:5	0.01487033	0.00361904	0.00047470	0.00043542	0.02332189	0.00078937	0.00077208	0.00236253	0.00213828
1:Del:T:0	0.00778229	0.00132604	0.11189432	0.04076768	0.03526294	0.00457321	0.09936023	0.01777953	0.00679582
1:Del:T:1	0.00000000	0.00000000	0.13339132	0.05220026	0.00536835	0.00008868	0.07898617	0.00000017	0.03450359
1:Del:T:2	0.00690052	0.00109082	0.13048498	0.01136740	0.01500631	0.01210772	0.07884074	0.01055520	0.00110387
1:Del:T:3	0.02006247	0.00240044	0.09980097	0.01476093	0.01365566	0.02258142	0.10706320	0.01658828	0.00297110
1:Del:T:4	0.04697166	0.00442422	0.05560928	0.00382126	0.01079228	0.01802844	0.08490219	0.01321140	0.00121003
1:Del:T:5	0.81536822	0.00021607	0.01367611	0.00235485	0.00637309	0.00121563	0.03164978	0.04420066	0.00149006
1:Ins:C:0	0.00000000	0.00000001	0.00000004	0.00000025	0.00000019	0.00000010	0.00000028	0.46159512	0.00000008
1:Ins:C:1	0.00016672	0.00000000	0.00674942	0.00173414	0.00651102	0.00154030	0.00014931	0.01217687	0.00003860
1:Ins:C:2	0.00001125	0.00000004	0.00681209	0.00119080	0.00460309	0.00004022	0.00007137	0.00044961	0.00000668
1:Ins:C:3	0.00051487	0.00052032	0.00078660	0.00006035	0.00834873	0.00000000	0.00007617	0.00163989	0.00020298
1:Ins:C:4	0.00315628	0.00146079	0.00004540	0.00015252	0.00777586	0.00004258	0.00029517	0.00169491	0.00000000
1:Ins:C:5	0.00910443	0.02444987	0.00000559	0.00059236	0.00696290	0.00003528	0.00056986	0.00244413	0.00050339
1:Ins:T:0	0.00124627	0.00215329	0.00795132	0.00662081	0.01522920	0.00579518	0.01858081	0.03223181	0.00400560
1:Ins:T:1	0.00000003	0.00000001	0.01872395	0.00506191	0.05901240	0.00022935	0.00612916	0.00249889	0.00022887
1:Ins:T:2	0.00070905	0.00003717	0.03544271	0.00064184	0.05098795	0.00001281	0.00096538	0.00174270	0.00002782
1:Ins:T:3	0.00115104	0.00407545	0.02351237	0.00155252	0.03077438	0.00046439	0.00179986	0.00095365	0.00026211
1:Ins:T:4	0.00372070	0.01651639	0.01506839	0.00158608	0.00782155	0.00093080	0.00236217	0.00489823	0.00086150
1:Ins:T:5	0.00193184	0.89997964	0.00055235	0.01336175	0.00964844	0.00832056	0.01937504	0.23706266	0.00700678
2:Del:R:0	0.00010178	0.00044908	0.02944293	0.01060509	0.00693093	0.00144984	0.01302796	0.00049949	0.07019181
2:Del:R:1	0.00341047	0.00051050	0.01864138	0.00983688	0.01006646	0.00113453	0.00112646	0.00683723	0.22132093
2:Del:R:2	0.00191993	0.00016685	0.00228670	0.00024150	0.01242022	0.00177253	0.00057106	0.00277558	0.05184441
2:Del:R:3	0.00080273	0.00018081	0.00000000	0.00002302	0.00610022	0.00003013	0.00004484	0.00054305	0.01040402
2:Del:R:4	0.00089970	0.00000000	0.00020920	0.00000000	0.00364332	0.00000065	0.00000949	0.00006231	0.00315853
2:Del:R:5	0.00000000	0.00000001	0.02571983	0.00054666	0.00041108	0.00000000	0.00060252	0.00000162	0.00125729
3:Del:R:0	0.00001555	0.00005349	0.01983426	0.01184702	0.00086758	0.00133598	0.00215071	0.00117912	0.00430528
3:Del:R:1	0.00491393	0.00463122	0.00329121	0.00092558	0.00014461	0.00501131	0.00259811	0.00499476	0.09194733
3:Del:R:2	0.00264099	0.00018734	0.00010897	0.00005970	0.00000049	0.00034810	0.00043020	0.00126793	0.02105660
3:Del:R:3	0.00057335	0.00008785	0.00007517	0.00000824	0.00000000	0.00000000	0.00003797	0.00051292	0.00385224
3:Del:R:4	0.00000000	0.00000004	0.00697321	0.00016097	0.00006663	0.00000001	0.00016901	0.00000166	0.00014105
3:Del:R:5	0.00000000	0.00000002	0.01010588	0.00022878	0.00010373	0.00000000	0.00025788	0.00000003	0.00045485
4:Del:R:0	0.00001467	0.00002034	0.01246951	0.00710771	0.00019334	0.00240719	0.00114059	0.00003539	0.00674267
4:Del:R:1	0.00210372	0.00059652	0.00070169	0.00142439	0.00055817	0.00258391	0.00313344	0.00071045	0.06073700
4:Del:R:2	0.00045851	0.00000000	0.00000000	0.00000000	0.00000012	0.00011157	0.00000620	0.00060435	0.01041116
