Signature,NumberOfPostSamples
low confidence hdp.1,3228
low confidence hdp.2,3200
low confidence hdp.3,2800
low confidence hdp.4,2770
low confidence hdp.5,2394
low confidence hdp.6,1593
low confidence hdp.7,1399
low confidence hdp.8,1397
low confidence hdp.9,1200
low confidence hdp.10,1183
low confidence hdp.11,1165
low confidence hdp.12,1134
low confidence hdp.13,1005
low confidence hdp.14,800
low confidence hdp.15,771
low confidence hdp.16,400
low confidence hdp.17,400
low confidence hdp.18,7
low confidence hdp.19,2
