Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (False Positive) (ID5 0.779),ID83D (ID8 0.991),ID83E (ID13 0.96),ID83F (ID3 0.979),ID83G (ID6 0.999),ID83H (ID9 0.994),ID83I (ID4 0.989),ID83J (ID14 0.985)
DEL,C,1,0,0.00195018,8.07e-06,0.00321406,0.03235288,0.00334862,0.08705607,0.02372655,0.37297152,0.01447976,0.00298286
DEL,C,1,1,0,2.933e-05,0.00377185,0.01916492,0.00575254,0.22907079,0.00173859,0.09700271,0.0008339,0.00010034
DEL,C,1,2,0,0,0.00409361,0.00023426,0.00805915,0.20826276,0.00368346,0.00180893,0.00132985,0
DEL,C,1,3,0.00199205,0.00175797,0.0093356,0.00503763,0.00598069,0.07435585,6.683e-05,0.01091303,0.00090545,0.00058831
DEL,C,1,4,0.00313152,0.00049433,0.00567097,0.00104097,0.00052574,0.04361574,0.00166169,0.01449096,0.00217572,0.00142802
DEL,C,1,5+,0.01397468,0.00181464,0.01829908,0.00170734,0.00047337,0.02584281,0.00095242,0.0004523,0.0024876,0.00357796
DEL,T,1,0,0.00480796,0.00079553,0.10455893,0.03628403,0.08034933,0.02469908,0.00090115,0.11719848,0.0050464,0.01639864
DEL,T,1,1,0,1e-08,0.00631641,0.01352365,0.34841932,0.00325791,1.269e-05,0.00751947,0.01142794,4.52e-06
DEL,T,1,2,0.00582502,3.235e-05,0.11544338,0.00725212,0.0813187,0.0040407,0.00807254,0.08810605,0.00209729,0.00564605
DEL,T,1,3,0.01621438,0.00111901,0.10986449,0.00848429,0.07889023,0.00388916,0.01922197,0.11393886,0.00593664,0.01304477
DEL,T,1,4,0.03556179,0.002172,0.14631055,0.00922371,0.02607211,0.00312039,0.01340186,0.10457913,0.0053298,0.01071556
DEL,T,1,5+,0.85212501,0.00030669,0.01325033,0.00032211,0.00295594,0.0009982,0.0001127,0.01284258,0.00043612,0.06303329
INS,C,1,0,0,1e-08,3e-08,1.1e-07,5e-08,1.2e-07,2e-08,2.6e-07,1.2e-07,0.53249115
INS,C,1,1,0.0002032,7.48e-06,0.00567588,0.00204362,0.00416009,0.00597705,0.00140135,0,2.549e-05,0.01439232
INS,C,1,2,6.05e-06,6.99e-06,0.00439613,0.00160266,0.00429033,0.00444828,3.936e-05,3.21e-06,2.796e-05,0.00049195
INS,C,1,3,0.00035188,0.00070615,0.00175845,0.00023424,0.00047901,0.00876882,1.74e-06,5.729e-05,0.00065927,0.00075604
INS,C,1,4,0.00244413,0.00123634,0.00510924,0.00067558,0.00014117,0.00806134,0.0002194,0.00010364,0.00013657,0.00077526
INS,C,1,5+,0.00663894,0.01960079,0.03642879,0.00665002,0.00140609,0.00794743,1.496e-05,0.00012834,0.0014719,0.00235579
