Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3400
low confidence hdp.3,3200
low confidence hdp.4,2194
low confidence hdp.5,2077
low confidence hdp.6,1796
low confidence hdp.7,1592
low confidence hdp.8,1560
low confidence hdp.9,1400
low confidence hdp.10,1330
low confidence hdp.11,1000
low confidence hdp.12,1000
low confidence hdp.13,997
low confidence hdp.14,982
low confidence hdp.15,600
low confidence hdp.16,588
low confidence hdp.17,402
low confidence hdp.18,394
low confidence hdp.19,200
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
