Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I,ID83J,ID83K
DEL,C,1,0,0.00235834044833013,0,0.00340612775441798,0.000825714296330249,0.0253632232360542,0.0863102687895298,0.0223781386204064,0.384953174591064,0.00285085342286604,0.00922090521700738,0.00304304984914779
DEL,C,1,1,2.341430827002e-11,2.2567526463211e-06,0.000585825013516619,0.00792027327930555,0.0189628335880116,0.237613154351711,0.00121784076373087,0.0995553819090128,0.00319704968426876,0.000169591331822556,4.0225917443007e-05
DEL,C,1,2,8.87651840919546e-12,5.63078522142213e-10,1.27824626439121e-10,0.00864852989092469,4.96790968769949e-06,0.21822151273489,0.0040028086071834,1.40129846432482e-47,0.00756548856736232,0.00115586350672572,2.89048482926546e-10
DEL,C,1,3,0.0016578366633621,0.00136598203451285,0.0103100042825099,0.00838805173756555,0.00483206512173638,0.0770148477703333,1.61849584401352e-05,0.0102567457780242,0.00477454631356522,0.000621916322187455,0.000537792068203089
DEL,C,1,4,0.00245085045081888,0.000212867239730485,0.013476586980978,3.60386649845168e-06,9.81247291874147e-05,0.0454071102291346,0.00165395157731837,0.0141014567948878,0.000705689856939255,0.00178352563205408,0.00142106376821175
DEL,C,1,5+,0.0119433040870354,0.000830161342237261,0.0414349489845336,2.31912570071019e-05,1.3479649227861e-05,0.0267626552842557,0.000877701114350202,6.56182869167444e-05,0.000293494918260283,0.00179513781971764,0.00356375688454136
DEL,T,1,0,0.00342310699700434,0.000258065537599745,0.0317611918295734,0.145023432672024,0.0336882537417114,0.0209524123184383,0.000157048564048986,0.119448842778802,0.0491372261548275,0.00459387925919145,0.0167959621828049
DEL,T,1,1,0,1.02096897336423e-08,3.32976609063174e-08,0.0102022388669893,0.0111968490834381,0.00482304671717202,2.12221597465589e-06,0.00276107024823955,0.535218679904938,0.00266691987425428,2.53622572188306e-08
DEL,T,1,2,0.00550568752340041,1.37055865246177e-05,0.0148575477104168,0.176048118472099,0.00300144537621306,0.000307505396274177,0.00748401251621544,0.0924938686192036,0.0340924456622452,0.00211041519648447,0.00543308841530234
DEL,T,1,3,0.0135620158736674,0.000523705108759625,0.0621207242342643,0.117006242275238,0.00217525277685142,0.000802934448849929,0.0186750431871042,0.116367305740714,0.0671334303915501,0.003828468781212,0.0131147809512913
